Tweet,Hate_Speech,tokenized_text
jokowi suruh mundur,1,"['jokowi', 'suruh', 'mundur']"
otak mulut jari sinkron lucu sayang,0,"['otak', 'mulut', 'jari', 'sinkron', 'lucu', 'sayang']"
mundur uniform resource locator,1,"['mundur', 'uniform', 'resource', 'locator']"
tahukah persamaan malin kundang ahok berdua durhaka asbak iklan ahok jahat kampanye ahok jahat,1,"['tahukah', 'persamaan', 'malin', 'kundang', 'ahok', 'berdua', 'durhaka', 'asbak', 'iklan', 'ahok', 'jahat', 'kampanye', 'ahok', 'jahat']"
ketua ikatan cendekiawan muslim indonesia intelektual muslim berani bahas terbuka muhammad nabi gadungan,1,"['ketua', 'ikatan', 'cendekiawan', 'muslim', 'indonesia', 'intelektual', 'muslim', 'berani', 'bahas', 'terbuka', 'muhammad', 'nabi', 'gadungan']"
gampang banget edan,0,"['gampang', 'banget', 'edan']"
mencari sahabat cacat sahabat,0,"['mencari', 'sahabat', 'cacat', 'sahabat']"
asu wasitnya picek,1,"['asu', 'wasitnya', 'picek']"
ah dasar jablay murah,1,"['ah', 'dasar', 'jablay', 'murah']"
debat final pemilihan kepala daerah jakarta mati ahok,1,"['debat', 'final', 'pemilihan', 'kepala', 'daerah', 'jakarta', 'mati', 'ahok']"
mohon pencerahan etika politik internasional gubernur hubung bilateral negara relevansi tugas amp kewajiban daerah khusus ibukota terima kasih,0,"['mohon', 'pencerahan', 'etika', 'politik', 'internasional', 'gubernur', 'hubung', 'bilateral', 'negara', 'relevansi', 'tugas', 'amp', 'kewajiban', 'daerah', 'khusus', 'ibukota', 'terima', 'kasih']"
salah cung gue bani kacung dungu surat pemberitahuan tahunan memerintah ngawur kebijakannya surat pemberitahuan tahunan gue,1,"['salah', 'cung', 'gue', 'bani', 'kacung', 'dungu', 'surat', 'pemberitahuan', 'tahunan', 'memerintah', 'ngawur', 'kebijakannya', 'surat', 'pemberitahuan', 'tahunan', 'gue']"
banget kayaknya ratusan puluhan ramai orang kirim tubir adminnya mancing debat lgbt pura pura cons eh homophobic benaran dihujat sekar,0,"['banget', 'kayaknya', 'ratusan', 'puluhan', 'ramai', 'orang', 'kirim', 'tubir', 'adminnya', 'mancing', 'debat', 'lgbt', 'pura', 'pura', 'cons', 'eh', 'homophobic', 'benaran', 'dihujat', 'sekar']"
sumber daya manusia kuat berdaya saing aspek mendukung peningkatan pembangunan bidang ekonomi bidang sosial budaya,0,"['sumber', 'daya', 'manusia', 'kuat', 'berdaya', 'saing', 'aspek', 'mendukung', 'peningkatan', 'pembangunan', 'bidang', 'ekonomi', 'bidang', 'sosial', 'budaya']"
98 gue ogah berteman rl rupiah anjing gue bercanda menangis wkwk tau orangnya bikin gue bacot sih wkwk,0,"['gue', 'ogah', 'berteman', 'rl', 'rupiah', 'anjing', 'gue', 'bercanda', 'menangis', 'wkwk', 'tau', 'orangnya', 'bikin', 'gue', 'bacot', 'sih', 'wkwk']"
setan semoga mencret 3 minggu terlindas truk suhu,1,"['setan', 'semoga', 'mencret', 'minggu', 'terlindas', 'truk', 'suhu']"
isb tes berjemaah beli saham bris berjemaah beli beli bris pikir risiko reputasi pemegang saham mayoritas amp berniat mengerdilkan pemegang saham minoritas dimiliki koperasi pembatikan indonesia,0,"['isb', 'tes', 'berjemaah', 'beli', 'saham', 'bris', 'berjemaah', 'beli', 'beli', 'bris', 'pikir', 'risiko', 'reputasi', 'pemegang', 'saham', 'mayoritas', 'amp', 'berniat', 'mengerdilkan', 'pemegang', 'saham', 'minoritas', 'dimiliki', 'koperasi', 'pembatikan', 'indonesia']"
insyaallah indonesia ganti presiden rakyat negeri bahu membahu menyelesaikan,0,"['insyaallah', 'indonesia', 'ganti', 'presiden', 'rakyat', 'negeri', 'bahu', 'membahu', 'menyelesaikan']"
tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang tomohon international flower festival nomor induk mahasiswa,0,"['tomohon', 'pusat', 'pembelajaran', 'agama', 'kristen', 'katolik', 'khusus', 'berdoa', 'meditasi', 'bukit', 'kasih', 'suci', 'indah', 'tenang', 'tomohon', 'international', 'flower', 'festival', 'nomor', 'induk', 'mahasiswa']"
zefanya caenliana angeline winata lahir solo tanggal 23 juli 2001 mata sipit suara cempreng dilahirkan keluarga perfeksionis anak,0,"['zefanya', 'caenliana', 'angeline', 'winata', 'lahir', 'solo', 'tanggal', 'juli', 'mata', 'sipit', 'suara', 'cempreng', 'dilahirkan', 'keluarga', 'perfeksionis', 'anak']"
sedih ustad lihat nasib anak negeri pemimpin kacung aparat keparat,1,"['sedih', 'ustad', 'lihat', 'nasib', 'anak', 'negeri', 'pemimpin', 'kacung', 'aparat', 'keparat']"
serius leluhur leluhur gue dayak nih dukun ya bandar togel gue kayak separuh pandai membaca orang separuh bejat,0,"['serius', 'leluhur', 'leluhur', 'gue', 'dayak', 'nih', 'dukun', 'ya', 'bandar', 'togel', 'gue', 'kayak', 'separuh', 'pandai', 'membaca', 'orang', 'separuh', 'bejat']"
teruskan kedunguanmu bong bangsa tercabik cabik tinggal punguti sampah kayak dasar mata sipit,1,"['teruskan', 'kedunguanmu', 'bong', 'bangsa', 'tercabik', 'cabik', 'tinggal', 'punguti', 'sampah', 'kayak', 'dasar', 'mata', 'sipit']"
suuzan nih rezim uniform resource locator,1,"['suuzan', 'nih', 'rezim', 'uniform', 'resource', 'locator']"
cebong kanan mengotot calon wakil presiden prabowo kalangan 11 12 kayak cebong kiri,1,"['cebong', 'kanan', 'mengotot', 'calon', 'wakil', 'presiden', 'prabowo', 'kalangan', 'kayak', 'cebong', 'kiri']"
bertujuan memilih anggota dewan perwakilan rakyat konstituante 4 partai pemenang pemilihan partai nasional indonesia masyumi nu partai komunis indonesia,0,"['bertujuan', 'memilih', 'anggota', 'dewan', 'perwakilan', 'rakyat', 'konstituante', 'partai', 'pemenang', 'pemilihan', 'partai', 'nasional', 'indonesia', 'masyumi', 'nu', 'partai', 'komunis', 'indonesia']"
ha orang kayak pecun dang aduh banget orang kayak bacot sesak napas,1,"['ha', 'orang', 'kayak', 'pecun', 'dang', 'aduh', 'banget', 'orang', 'kayak', 'bacot', 'sesak', 'napas']"
ya bodoh,1,"['ya', 'bodoh']"
pembuatan sarana sanitasi 30 jamban 30 kepala keluarga kakak anggaran rp2 juta unit,0,"['pembuatan', 'sarana', 'sanitasi', 'jamban', 'kepala', 'keluarga', 'kakak', 'anggaran', 'rp', 'juta', 'unit']"
menerima kunjungan duta palestina indonesia zuhair saleh muhammad al shun semangat persahabatan ketua partai demokrasi indonesia perjuangan presiden indonesia megawati soekarno putri yasser arafat,0,"['menerima', 'kunjungan', 'duta', 'palestina', 'indonesia', 'zuhair', 'saleh', 'muhammad', 'al', 'shun', 'semangat', 'persahabatan', 'ketua', 'partai', 'demokrasi', 'indonesia', 'perjuangan', 'presiden', 'indonesia', 'megawati', 'soekarno', 'putri', 'yasser', 'arafat']"
otak sih profesor remehkan minum kencing onta biar pintar,1,"['otak', 'sih', 'profesor', 'remehkan', 'minum', 'kencing', 'onta', 'biar', 'pintar']"
aaaa koordinator wilayah dewan pimpinan cabang pondok cina nih smash blast bis maniak smash is back,0,"['aaaa', 'koordinator', 'wilayah', 'dewan', 'pimpinan', 'cabang', 'pondok', 'cina', 'nih', 'smash', 'blast', 'bis', 'maniak', 'smash', 'is', 'back']"
batalkan pelantikan anies gue rela jakarta dipimpin plt gubernur gubernur hasil pemilihan kepala daerah berlumur sara,1,"['batalkan', 'pelantikan', 'anies', 'gue', 'rela', 'jakarta', 'dipimpin', 'plt', 'gubernur', 'gubernur', 'hasil', 'pemilihan', 'kepala', 'daerah', 'berlumur', 'sara']"
gembel,0,['gembel']
ahoker bela penista agama hypertext transfer protocol over secure socket layer t co hxuu4rudfx,1,"['ahoker', 'bela', 'penista', 'agama', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 'co', 'hxuu', 'rudfx']"
6 angkatan partai komunis indonesia demokrasi terpimpin laskar laskar perjuangan dibentuk pemuda diberbagai daerah nb kekuatan pertahanan angkatan,0,"['angkatan', 'partai', 'komunis', 'indonesia', 'demokrasi', 'terpimpin', 'laskar', 'laskar', 'perjuangan', 'dibentuk', 'pemuda', 'diberbagai', 'daerah', 'nb', 'kekuatan', 'pertahanan', 'angkatan']"
tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang tomohon international flower festival,0,"['tomohon', 'pusat', 'pembelajaran', 'agama', 'kristen', 'katolik', 'khusus', 'berdoa', 'meditasi', 'bukit', 'kasih', 'suci', 'indah', 'tenang', 'tomohon', 'international', 'flower', 'festival']"
oh shit gue kemarin bilang apatis ujungnya menyelesaikan makan bacot,1,"['oh', 'shit', 'gue', 'kemarin', 'bilang', 'apatis', 'ujungnya', 'menyelesaikan', 'makan', 'bacot']"
afgan sukses taklukan bandung sides indonesia tour 2016 via,0,"['afgan', 'sukses', 'taklukan', 'bandung', 'sides', 'indonesia', 'tour', 'via']"
kontrak karya freeport kakak i kontrak karya bahan promosi dibawa julius tahija memperkenalkan indonesia negeri misi pertamanya mempromosikan kebijakan penanaman modal asing australia fr,0,"['kontrak', 'karya', 'freeport', 'kakak', 'kontrak', 'karya', 'bahan', 'promosi', 'dibawa', 'julius', 'tahija', 'memperkenalkan', 'indonesia', 'negeri', 'misi', 'pertamanya', 'mempromosikan', 'kebijakan', 'penanaman', 'modal', 'asing', 'australia', 'fr']"
astaga bolot banget,1,"['astaga', 'bolot', 'banget']"
bos kacungnya otaknya bodoh,1,"['bos', 'kacungnya', 'otaknya', 'bodoh']"
cewek pakai kerudung ya kali konferensi pers pencitraan islami kali haha,1,"['cewek', 'pakai', 'kerudung', 'ya', 'kali', 'konferensi', 'pers', 'pencitraan', 'islami', 'kali', 'haha']"
gubernur super anies baswedan kuliah universitas hasan ih casablanca maroko,0,"['gubernur', 'super', 'anies', 'baswedan', 'kuliah', 'universitas', 'hasan', 'ih', 'casablanca', 'maroko']"
kayak memilih pilih nge replay nyeee doang kaum adam melipiirrrr blok dah manfaatnya membaca komen kaum bani kampret,1,"['kayak', 'memilih', 'pilih', 'nge', 'replay', 'nyeee', 'doang', 'kaum', 'adam', 'melipiirrrr', 'blok', 'dah', 'manfaatnya', 'membaca', 'komen', 'kaum', 'bani', 'kampret']"
deokspatch amigo televisi right now nimdle kbs lupa judul cina korea lucu pokoknya,0,"['deokspatch', 'amigo', 'televisi', 'right', 'now', 'nimdle', 'kbs', 'lupa', 'judul', 'cina', 'korea', 'lucu', 'pokoknya']"
bodoh banget mun kebanyakan anak ya hina banget sial nya untung modar,0,"['bodoh', 'banget', 'mun', 'kebanyakan', 'anak', 'ya', 'hina', 'banget', 'sial', 'nya', 'untung', 'modar']"
ya meladeni silakan mengobrol kampret maaf lo ya cebong orang orang sibuk meluangkan interaksi kampret kampret pengangguran surat pemberitahuan tahunan,1,"['ya', 'meladeni', 'silakan', 'mengobrol', 'kampret', 'maaf', 'lo', 'ya', 'cebong', 'orang', 'orang', 'sibuk', 'meluangkan', 'interaksi', 'kampret', 'kampret', 'pengangguran', 'surat', 'pemberitahuan', 'tahunan']"
hak asasi manusia hak sosial politik hak ekonomi sosial budaya pihri buhaira,0,"['hak', 'asasi', 'manusia', 'hak', 'sosial', 'politik', 'hak', 'ekonomi', 'sosial', 'budaya', 'pihri', 'buhaira']"
habis pulang skill lab habis puyeng budek bedakan suara redup jantung pas dipalpasi dikupingku pas pulang lihat lini w1 konser pusing,0,"['habis', 'pulang', 'skill', 'lab', 'habis', 'puyeng', 'budek', 'bedakan', 'suara', 'redup', 'jantung', 'pas', 'dipalpasi', 'dikupingku', 'pas', 'pulang', 'lihat', 'lini', 'konser', 'pusing']"
lapor islam hina majelis ulama indonesia front pembela islam membantah,1,"['lapor', 'islam', 'hina', 'majelis', 'ulama', 'indonesia', 'front', 'pembela', 'islam', 'membantah']"
asmara pujangga kere jablay asuransi garap sawah ayo wkwk,0,"['asmara', 'pujangga', 'kere', 'jablay', 'asuransi', 'garap', 'sawah', 'ayo', 'wkwk']"
haha sih palti west paham sejarah,1,"['haha', 'sih', 'palti', 'west', 'paham', 'sejarah']"
bangga 800 t gede bilangnya bayar utang pas dibilangi 23 menyerang rezim kemarin jum,0,"['bangga', 'gede', 'bilangnya', 'bayar', 'utang', 'pas', 'dibilangi', 'menyerang', 'rezim', 'kemarin', 'jum']"
josss gandos memek nya,0,"['josss', 'gandos', 'memek', 'nya']"
sih efek nya jijik cewek murahan suka menawari menawari teman nya lelaki hidung zebra,0,"['sih', 'efek', 'nya', 'jijik', 'cewek', 'murahan', 'suka', 'menawari', 'menawari', 'teman', 'nya', 'lelaki', 'hidung', 'zebra']"
natural killer marah marah tk payah grab woi duduk diam diam rumah bodoh idiot orang bodoh tahap tk bwk bincang,1,"['natural', 'killer', 'marah', 'marah', 'tk', 'payah', 'grab', 'woi', 'duduk', 'diam', 'diam', 'rumah', 'bodoh', 'idiot', 'orang', 'bodoh', 'tahap', 'tk', 'bwk', 'bincang']"
cebong pemuja ahok meratap thread,1,"['cebong', 'pemuja', 'ahok', 'meratap', 'thread']"
selamat yik bohong lari berbau bawang dipenuhi komunis,0,"['selamat', 'yik', 'bohong', 'lari', 'berbau', 'bawang', 'dipenuhi', 'komunis']"
intoleransi mitos komunis takut agama teroris mitos alat komunis memarginalkan agama korupsi mitos maling teriak dirampok,0,"['intoleransi', 'mitos', 'komunis', 'takut', 'agama', 'teroris', 'mitos', 'alat', 'komunis', 'memarginalkan', 'agama', 'korupsi', 'mitos', 'maling', 'teriak', 'dirampok']"
wikipedia orde pemerintahan junta militer kayak pemerintahan myanmar b diktator jokowi,1,"['wikipedia', 'orde', 'pemerintahan', 'junta', 'militer', 'kayak', 'pemerintahan', 'myanmar', 'diktator', 'jokowi']"
orang jail nak islam salat islam nih pendidikan layanan khusus islam angkat ganja salat badan tato minum club tunggu masuk prison nak ubah,0,"['orang', 'jail', 'nak', 'islam', 'salat', 'islam', 'nih', 'pendidikan', 'layanan', 'khusus', 'islam', 'angkat', 'ganja', 'salat', 'badan', 'tato', 'minum', 'club', 'tunggu', 'masuk', 'prison', 'nak', 'ubah']"
uh mampus makan gengsi nfr liedabin nto liedabin,1,"['uh', 'mampus', 'makan', 'gengsi', 'nfr', 'liedabin', 'nto', 'liedabin']"
ya pantaslah rezim anti islam,1,"['ya', 'pantaslah', 'rezim', 'anti', 'islam']"
onta lucu deh,0,"['onta', 'lucu', 'deh']"
bingung membedakan hasil bisikan jin iblis malaikat hasil pemikiran orang singgah tuhan paham,0,"['bingung', 'membedakan', 'hasil', 'bisikan', 'jin', 'iblis', 'malaikat', 'hasil', 'pemikiran', 'orang', 'singgah', 'tuhan', 'paham']"
gayanya jokowi kayak orde partai komunis indonesia nya dibiarkan muncul gaya orde lahir,1,"['gayanya', 'jokowi', 'kayak', 'orde', 'partai', 'komunis', 'indonesia', 'nya', 'dibiarkan', 'muncul', 'gaya', 'orde', 'lahir']"
anjir devan wkwk manusia homo gue,0,"['anjir', 'devan', 'wkwk', 'manusia', 'homo', 'gue']"
mulut banci mengurus dasar dasar iblis berujud manusia muncul jelang pilihan kepala daerah syaraf,1,"['mulut', 'banci', 'mengurus', 'dasar', 'dasar', 'iblis', 'berujud', 'manusia', 'muncul', 'jelang', 'pilihan', 'kepala', 'daerah', 'syaraf']"
indeks pembangunan manusia indonesia 2017 membaik,0,"['indeks', 'pembangunan', 'manusia', 'indonesia', 'membaik']"
logisnya ya pesanan ahoker maaf on warga daerah khusus ibukota bego,1,"['logisnya', 'ya', 'pesanan', 'ahoker', 'maaf', 'on', 'warga', 'daerah', 'khusus', 'ibukota', 'bego']"
koster kembalikan kejayaan klungkung pusat seni budaya bali,0,"['koster', 'kembalikan', 'kejayaan', 'klungkung', 'pusat', 'seni', 'budaya', 'bali']"
ahok konsisten memberangkatkan saudara umat muslim pergi umrah gratis dilain sisi penipu pakai embel embel agama mengubur harapan saudara umat muslim dap,0,"['ahok', 'konsisten', 'memberangkatkan', 'saudara', 'umat', 'muslim', 'pergi', 'umrah', 'gratis', 'dilain', 'sisi', 'penipu', 'pakai', 'embel', 'embel', 'agama', 'mengubur', 'harapan', 'saudara', 'umat', 'muslim', 'dap']"
apapun kampus ditemukan tas diduga isinya bom,0,"['apapun', 'kampus', 'ditemukan', 'tas', 'diduga', 'isinya', 'bom']"
ya kali ketemu bobotoh viking kaos the jak pikir,1,"['ya', 'kali', 'ketemu', 'bobotoh', 'viking', 'kaos', 'the', 'jak', 'pikir']"
gubernur pastikan hadiri serah terima jabatan ketua asosiasi pedagang pasar indonesia,0,"['gubernur', 'pastikan', 'hadiri', 'serah', 'terima', 'jabatan', 'ketua', 'asosiasi', 'pedagang', 'pasar', 'indonesia']"
merapat bergurulah ulama tegak lurus dihadapan rezim melupakan ulama sumber menggali ilmu pengetahuan menggurui ilmu seakan pesona tokoh kebenaran salah merapatlah kepa,0,"['merapat', 'bergurulah', 'ulama', 'tegak', 'lurus', 'dihadapan', 'rezim', 'melupakan', 'ulama', 'sumber', 'menggali', 'ilmu', 'pengetahuan', 'menggurui', 'ilmu', 'seakan', 'pesona', 'tokoh', 'kebenaran', 'salah', 'merapatlah', 'kepa']"
ahok penjara mengutip kisah fiksi,0,"['ahok', 'penjara', 'mengutip', 'kisah', 'fiksi']"
kaget anjir mantap penuh kiraan,0,"['kaget', 'anjir', 'mantap', 'penuh', 'kiraan']"
awas ya istrinya ciputra grup panjat kampang,1,"['awas', 'ya', 'istrinya', 'ciputra', 'grup', 'panjat', 'kampang']"
kemarin kirim tuyul rumah ih tenang mengambil uang mencuri hati,0,"['kemarin', 'kirim', 'tuyul', 'rumah', 'ih', 'tenang', 'mengambil', 'uang', 'mencuri', 'hati']"
ooooh maksud bom takjil pekerjaan nyeleneh,0,"['ooooh', 'maksud', 'bom', 'takjil', 'pekerjaan', 'nyeleneh']"
biarkan km mensen goblok,1,"['biarkan', 'km', 'mensen', 'goblok']"
memangnya nih partai mengeluarkan pernyataan percaya isinya jongos cina komunis,1,"['memangnya', 'nih', 'partai', 'mengeluarkan', 'pernyataan', 'percaya', 'isinya', 'jongos', 'cina', 'komunis']"
pilihanku partai bintang,0,"['pilihanku', 'partai', 'bintang']"
dungu bang,1,"['dungu', 'bang']"
nih menyerang gue semalam ended up mengeblok cupu kicep ngewe,1,"['nih', 'menyerang', 'gue', 'semalam', 'ended', 'up', 'mengeblok', 'cupu', 'kicep', 'ngewe']"
berengsek menangis lihat dk goblen uniform resource locator,0,"['berengsek', 'menangis', 'lihat', 'dk', 'goblen', 'uniform', 'resource', 'locator']"
tai,0,['tai']
kayak onta haha,0,"['kayak', 'onta', 'haha']"
horeee anjing ikutan suka asing asing dasar munafik,1,"['horeee', 'anjing', 'ikutan', 'suka', 'asing', 'asing', 'dasar', 'munafik']"
masak bikin riwayat keturunan umumkan darah eci diaman tuti binti k h ahmad yasa adipura istri kakek r a karlina indra wijaya bin si r sutan rangkayo mulia h zaenal arifin istri kakek hj nurdiana cate,0,"['masak', 'bikin', 'riwayat', 'keturunan', 'umumkan', 'darah', 'eci', 'diaman', 'tuti', 'binti', 'ahmad', 'yasa', 'adipura', 'istri', 'kakek', 'karlina', 'indra', 'wijaya', 'bin', 'si', 'sutan', 'rangkayo', 'mulia', 'zaenal', 'arifin', 'istri', 'kakek', 'hj', 'nurdiana', 'cate']"
maklumlah paham zionis gabung komunis,0,"['maklumlah', 'paham', 'zionis', 'gabung', 'komunis']"
babi sipit banci pakai akun fake hina babi,1,"['babi', 'sipit', 'banci', 'pakai', 'akun', 'fake', 'hina', 'babi']"
haha pendukungnya kumpulan bani onta sumbu pendek menikmati kepemimpinan presiden nmantapkan 2019 pilih jokowi,1,"['haha', 'pendukungnya', 'kumpulan', 'bani', 'onta', 'sumbu', 'pendek', 'menikmati', 'kepemimpinan', 'presiden', 'nmantapkan', 'pilih', 'jokowi']"
politisasi radikal ciri khas komunis,0,"['politisasi', 'radikal', 'ciri', 'khas', 'komunis']"
cacat wanita pasanganku,0,"['cacat', 'wanita', 'pasanganku']"
farah aduh bom dek,0,"['farah', 'aduh', 'bom', 'dek']"
kristen ortodoks agama mengerikan salat pakai jilbab penampilannya orang,1,"['kristen', 'ortodoks', 'agama', 'mengerikan', 'salat', 'pakai', 'jilbab', 'penampilannya', 'orang']"
rakyat supir angkutan kota indonesia mendukung rezim calon presiden nya intelektual kebijakan memaksakan sepeda motor jadikan angkutan usaha orang bangkrut,0,"['rakyat', 'supir', 'angkutan', 'kota', 'indonesia', 'mendukung', 'rezim', 'calon', 'presiden', 'nya', 'intelektual', 'kebijakan', 'memaksakan', 'sepeda', 'motor', 'jadikan', 'angkutan', 'usaha', 'orang', 'bangkrut']"
sesungguhnya tiada berputus asa rahmat allah kaum kafir qs yusuf 87,0,"['sesungguhnya', 'tiada', 'berputus', 'asa', 'rahmat', 'allah', 'kaum', 'kafir', 'qs', 'yusuf']"
kayak monyet,0,"['kayak', 'monyet']"
teriakan teriakan terngiang telinga serasa dunia milik tuhan penentu,0,"['teriakan', 'teriakan', 'terngiang', 'telinga', 'serasa', 'dunia', 'milik', 'tuhan', 'penentu']"
hinaan dapatkan indonesia media media sosial bayang nasib tenaga kerja indonesia hinaan didengarnya langsung mohon memikirkan,0,"['hinaan', 'dapatkan', 'indonesia', 'media', 'media', 'sosial', 'bayang', 'nasib', 'tenaga', 'kerja', 'indonesia', 'hinaan', 'didengarnya', 'langsung', 'mohon', 'memikirkan']"
semoga saudara saudara sadar pemerintahan 2,0,"['semoga', 'saudara', 'saudara', 'sadar', 'pemerintahan']"
bangkai rajin bayar tarif,1,"['bangkai', 'rajin', 'bayar', 'tarif']"
haha lancar nih babi nak sambung kerja,0,"['haha', 'lancar', 'nih', 'babi', 'nak', 'sambung', 'kerja']"
kampungan nagita slavina reaksi ayu ting ting artis peran nagita slavina terang menyebut aksi goyang dangdut ayu ting ting kampungan nagita slavina ayu ting ting raffi ahmad kampungan uniform resource locator,0,"['kampungan', 'nagita', 'slavina', 'reaksi', 'ayu', 'ting', 'ting', 'artis', 'peran', 'nagita', 'slavina', 'terang', 'menyebut', 'aksi', 'goyang', 'dangdut', 'ayu', 'ting', 'ting', 'kampungan', 'nagita', 'slavina', 'ayu', 'ting', 'ting', 'raffi', 'ahmad', 'kampungan', 'uniform', 'resource', 'locator']"
sian tai,0,"['sian', 'tai']"
indah tai sapi matamu picek,1,"['indah', 'tai', 'sapi', 'matamu', 'picek']"
merasakan ngentot memek abg,0,"['merasakan', 'ngentot', 'memek', 'abg']"
presiden paksakan penerapan online single submission news jambi,0,"['presiden', 'paksakan', 'penerapan', 'online', 'single', 'submission', 'news', 'jambi']"
iya dipanggil bocah cilik kuntet banget upacara dipanggil eh semampai alias semeter nyak tugimin diteriaki tau responnya haha bangsat tugimin,1,"['iya', 'dipanggil', 'bocah', 'cilik', 'kuntet', 'banget', 'upacara', 'dipanggil', 'eh', 'semampai', 'alias', 'semeter', 'nyak', 'tugimin', 'diteriaki', 'tau', 'responnya', 'haha', 'bangsat', 'tugimin']"
ganggu nih onta,1,"['ganggu', 'nih', 'onta']"
tolak kebangkitan partai komunis indonesia tolak peraturan pemerintah pengganti undang undang anti islam jokowi diktator lengserkan jokowi rakyat tentara nasional indonesia uniform resource locator,1,"['tolak', 'kebangkitan', 'partai', 'komunis', 'indonesia', 'tolak', 'peraturan', 'pemerintah', 'pengganti', 'undang', 'undang', 'anti', 'islam', 'jokowi', 'diktator', 'lengserkan', 'jokowi', 'rakyat', 'tentara', 'nasional', 'indonesia', 'uniform', 'resource', 'locator']"
sinyal 4g kacrut,1,"['sinyal', 'kacrut']"
mengadakan menonton bareng film gerakan 30 september partai komunis indonesia bubarkan rekam simpan ingatan partai komunis indonesia,1,"['mengadakan', 'menonton', 'bareng', 'film', 'gerakan', 'september', 'partai', 'komunis', 'indonesia', 'bubarkan', 'rekam', 'simpan', 'ingatan', 'partai', 'komunis', 'indonesia']"
menteri deh kelas otak tumpul bacot congor kambing gadang,1,"['menteri', 'deh', 'kelas', 'otak', 'tumpul', 'bacot', 'congor', 'kambing', 'gadang']"
jawa timur anti hoaks pilihan kepala daerah damai deklarasi anti hoaks pegawai bengkel kalem kedurus,0,"['jawa', 'timur', 'anti', 'hoaks', 'pilihan', 'kepala', 'daerah', 'damai', 'deklarasi', 'anti', 'hoaks', 'pegawai', 'bengkel', 'kalem', 'kedurus']"
cocot wkwk,0,"['cocot', 'wkwk']"
tol dibangun asing asing duit biar gampang transportasinya jarah sumber alam daerah daerah thread starter,0,"['tol', 'dibangun', 'asing', 'asing', 'duit', 'biar', 'gampang', 'transportasinya', 'jarah', 'sumber', 'alam', 'daerah', 'daerah', 'thread', 'starter']"
presiden fim alasan pecahnya race direction steward moto gp,0,"['presiden', 'fim', 'alasan', 'pecahnya', 'race', 'direction', 'steward', 'moto', 'gp']"
ceritanya bali kenalan cewek kuliah kuliahnya institut kesenian jakarta eh fakultasnya fan film televisi eh kakak tingkat goblok dunia little,0,"['ceritanya', 'bali', 'kenalan', 'cewek', 'kuliah', 'kuliahnya', 'institut', 'kesenian', 'jakarta', 'eh', 'fakultasnya', 'fan', 'film', 'televisi', 'eh', 'kakak', 'tingkat', 'goblok', 'dunia', 'little']"
jual stiker awas arus listrik tegangan,0,"['jual', 'stiker', 'awas', 'arus', 'listrik', 'tegangan']"
kemarin momoland one suka banget lihat orang sukses babi warganet,1,"['kemarin', 'momoland', 'one', 'suka', 'banget', 'lihat', 'orang', 'sukses', 'babi', 'warganet']"
paul pogba selebrasi gol terdengar tiruan suara monyet paul pogba uniform resource locator,0,"['paul', 'pogba', 'selebrasi', 'gol', 'terdengar', 'tiruan', 'suara', 'monyet', 'paul', 'pogba', 'uniform', 'resource', 'locator']"
puasa beli nasi ayam berempah lupa cakap kuah asing sok expect nasi,0,"['puasa', 'beli', 'nasi', 'ayam', 'berempah', 'lupa', 'cakap', 'kuah', 'asing', 'sok', 'expect', 'nasi']"
temukan pesona keindahan cirebon kuliner bahasa budaya sejarah kesenian eksotisme dunia malamnya follow,0,"['temukan', 'pesona', 'keindahan', 'cirebon', 'kuliner', 'bahasa', 'budaya', 'sejarah', 'kesenian', 'eksotisme', 'dunia', 'malamnya', 'follow']"
e commerce nyawa pertumbuhan ekonomi ri,0,"['commerce', 'nyawa', 'pertumbuhan', 'ekonomi', 'ri']"
karaoke taman sari berangkatnya kesadaran diajak anies sandi saracen jebakan,1,"['karaoke', 'taman', 'sari', 'berangkatnya', 'kesadaran', 'diajak', 'anies', 'sandi', 'saracen', 'jebakan']"
takut tinggalkan last last tinggalkan babi,0,"['takut', 'tinggalkan', 'last', 'last', 'tinggalkan', 'babi']"
dasar bajingan tengik,1,"['dasar', 'bajingan', 'tengik']"
ditambah gaji fantastis liga cina menaklukan liga cina serie a salah liga terbaik pilihan cerdas menurutku,0,"['ditambah', 'gaji', 'fantastis', 'liga', 'cina', 'menaklukan', 'liga', 'cina', 'serie', 'salah', 'liga', 'terbaik', 'pilihan', 'cerdas', 'menurutku']"
presiden 2 periode,0,"['presiden', 'periode']"
janji jokowi 10 juta lapangan kerja tenaga kerja asing cina,1,"['janji', 'jokowi', 'juta', 'lapangan', 'kerja', 'tenaga', 'kerja', 'asing', 'cina']"
2 presiden model registrasi modern cepat sistem data terpadu terintegrasi melewati rantai birokrasi ratas,0,"['presiden', 'model', 'registrasi', 'modern', 'cepat', 'sistem', 'data', 'terpadu', 'terintegrasi', 'melewati', 'rantai', 'birokrasi', 'ratas']"
