,tweet,Hate_Speech,translated_tweet,tokenized_text
343,['met earth peace'],0,Met Earth Peace,"['met', 'earth', 'peace']"
344,he threw that flag up like nigger fuck out my face,1,Dia melempar bendera negro bercinta wajahku,"['dia', 'melempar', 'bendera', 'negro', 'bercinta', 'wajahku']"
345,you can condemn saudi arabia all day long but as soon as you say something like ahead,0,Anda mengutuk Arab Saudi Anda,"['anda', 'mengutuk', 'arab', 'saudi', 'anda']"
346,my friend's boyfriend just asked me if thing thong was a real word you mishit it's a stereotype to,0,Pacar teman Thong sungguhan Anda mishit stereotip,"['pacar', 'teman', 'thong', 'sungguhan', 'anda', 'mishit', 'stereotip']"
347,['dumb fucks leave behind out the fact that the mongoloid race came to north united states before them by thousands of age a b'],0,Dumb Fucks meninggalkan fakta ras mongoloid Amerika Serikat Utara ribuan usia B,"['dumb', 'fucks', 'meninggalkan', 'fakta', 'ras', 'mongoloid', 'amerika', 'serikat', 'utara', 'ribuan', 'usia']"
348,trump is famous for his insults shithole countries failing fake news evil democrats criminal immigran ,0,Trump terkenal penghinaannya negara -negara shithole gagal berita palsu Demokrat Imigran Kriminal,"['trump', 'terkenal', 'penghinaannya', 'negara', 'negara', 'shithole', 'gagal', 'berita', 'palsu', 'demokrat', 'imigran', 'kriminal']"
349,zip it ahead,0,Zip,['zip']
350,remember you can always go full retard but maybe you won't be back,1,Ingatlah Anda retard penuh Anda,"['ingatlah', 'anda', 'retard', 'penuh', 'anda']"
351,this is the sort of thing that happens in a shithole country ,1,Ini negara shithole,"['ini', 'negara', 'shithole']"
352,what sort of mongy comes to a 2 and half hour train journey w no headphonescba,0,Jenis uang perjalanan kereta api 2 jam headphone CBA,"['jenis', 'uang', 'perjalanan', 'kereta', 'api', 'jam', 'headphone', 'cba']"
353,so you mean to tell me being called a cracker carries the same weight as being called a nigger spick wetback chi,1,Jadi maksud Anda dipanggil cracker membawa bobot chi Wetback spick spick,"['jadi', 'maksud', 'anda', 'dipanggil', 'cracker', 'membawa', 'bobot', 'chi', 'wetback', 'spick', 'spick']"
354,the united states has become a shithole country and we can thank trump and all his deplorables,0,Amerika Serikat negara shithole berterima kasih Trump menyedihkannya,"['amerika', 'serikat', 'negara', 'shithole', 'berterima', 'kasih', 'trump', 'menyedihkannya']"
355,this cunt,1,vagina,['vagina']
356, barns heard them discussing the 'lecherous twat' and mistook it for 'leftist plot'nneasily done ,0,lumbung mendengar mendiskusikan twat lecherous plot kiri,"['lumbung', 'mendengar', 'mendiskusikan', 'twat', 'lecherous', 'plot', 'kiri']"
357,is that a faggot fighting a female if so sh sad a man,0,homo melawan wanita sedih pria,"['homo', 'melawan', 'wanita', 'sedih', 'pria']"
358,with was retard asylum day with gods jet day it's a mix of hopefuls since long crossed the finish line their 20,0,suaka retard dewa jet day campuran calon melintasi garis finish 20,"['suaka', 'retard', 'dewa', 'jet', 'day', 'campuran', 'calon', 'melintasi', 'garis', 'finish']"
359,['mu general studies is the most retarded module to ever live like why constitute it yet compulsory'],0,MU Studi Umum modul terbelakang hidup wajib,"['mu', 'studi', 'umum', 'modul', 'terbelakang', 'hidup', 'wajib']"
360,everything about her is enraging smug little twat,0,Segala marah twat sombong,"['segala', 'marah', 'twat', 'sombong']"
361,are people still using ching chong as an insult to asians lmfao y'all look stupid,1,Apakah orang ching chong penghinaan orang Asia lmfao bodoh,"['apakah', 'orang', 'ching', 'chong', 'penghinaan', 'orang', 'asia', 'lmfao', 'bodoh']"
362,i fucking hope those chinks get raped you fucking faggot they won exist in 12 yearsurl,1,Saya berharap celah -celah diperkosa Anda fagot sialan menang 12,"['saya', 'berharap', 'celah', 'celah', 'diperkosa', 'anda', 'fagot', 'sialan', 'menang']"
363, literally 5 minutes after the vote was in that twat farage said on good morning britain that the 350million thing was a lie,1,Secara harfiah 5 menit pemungutan suara twat farage selamat pagi Inggris 350 juta bohong,"['secara', 'harfiah', 'menit', 'pemungutan', 'suara', 'twat', 'farage', 'selamat', 'pagi', 'inggris', 'juta', 'bohong']"
364,follow me back you spic,1,ikuti Anda spic,"['ikuti', 'anda', 'spic']"
365,faggot,1,homo,['homo']
366,no he included you too it basic good grammar retard,1,memasukkanmu dasar tata bahasa,"['memasukkanmu', 'dasar', 'tata', 'bahasa']"
367,i called donald rumsfeild a raghead on the internet a long time ago,0,Saya menelepon Donald Rumsfeld raghead internet,"['saya', 'menelepon', 'donald', 'rumsfeld', 'raghead', 'internet']"
368,['en quoi parler de nombre de migrator devient une statistique ethnique on …'],0,Dalam dibicarakan migotor statistik etnis ...,"['dalam', 'dibicarakan', 'migotor', 'statistik', 'etnis']"
369,  btw are we now allowed to say shithole countries are we also allowed to say how wes ,0,btw diizinkan negara shithole diizinkan wes,"['btw', 'diizinkan', 'negara', 'shithole', 'diizinkan', 'wes']"
370,handy lot what a wanna be nigger your so plastic you make barbie look real,0,Lot Handy What A Wan na Be Nigger Anda So Plastic You Make Barbie Terlihat Nyata,"['lot', 'handy', 'what', 'wan', 'na', 'be', 'nigger', 'anda', 'so', 'plastic', 'you', 'make', 'barbie', 'terlihat', 'nyata']"
371,not you daft lad your money mate,1,Bukankah Anda orang bodoh teman uang Anda,"['bukankah', 'anda', 'orang', 'bodoh', 'teman', 'uang', 'anda']"
372,if wanting to protect children from sexual harassment and abuse makes me a feminacy it'll take it,1,Jika melindungi anak -anak pelecehan pelecehan seksual feminasi menerimanya,"['jika', 'melindungi', 'anak', 'anak', 'pelecehan', 'pelecehan', 'seksual', 'feminasi', 'menerimanya']"
373,i am in total support of increasing the number of refugees we bring to no the wrap around support they require is,0,Saya dukungan total meningkatkan pengungsi bawa membungkus dukungan butuhkan,"['saya', 'dukungan', 'total', 'meningkatkan', 'pengungsi', 'bawa', 'membungkus', 'dukungan', 'butuhkan']"
374,do i really have to worry my whole life if i say spic crack or night or fag by accident no i don't amp that pa creme,0,-benar khawatir hidup retak spic malam rapuh sengaja menguatkan creme pa,"['benar', 'khawatir', 'hidup', 'retak', 'spic', 'malam', 'rapuh', 'sengaja', 'menguatkan', 'creme', 'pa']"
375,he really hates our club what a twat,1,Dia -benar membenci klub twat,"['dia', 'benar', 'membenci', 'klub', 'twat']"
376,  then why come here to change america into the shithole country they are fleeing from may ,1,Lalu mengubah Amerika negara shithole melarikan Mei,"['lalu', 'mengubah', 'amerika', 'negara', 'shithole', 'melarikan', 'mei']"
377,if you still playing fortunate your a faggot,0,Jika Anda bermain fagot Anda,"['jika', 'anda', 'bermain', 'fagot', 'anda']"
378,and she from africa ya know that place wherecountries are located ,1,Afrika ya,"['afrika', 'ya']"
379, no i dont mean like liver dysfunction yellownlike chinaman yellow,1,disfungsi hati kuning chinaman yellow,"['disfungsi', 'hati', 'kuning', 'chinaman', 'yellow']"
380,"[""this equal wherefore one don ' t same china that disgusting affair thong country""]",0,Ini Cina urusan menjijikkan negara thong,"['ini', 'cina', 'urusan', 'menjijikkan', 'negara', 'thong']"
381,are you okay with giving benefits to illegal aliens are okay with them working here illegally are,1,Apakah Anda -baik manfaat alien ilegal -baik ilegal,"['apakah', 'anda', 'baik', 'manfaat', 'alien', 'ilegal', 'baik', 'ilegal']"
382,when a white says “wassup nigger” because you made a video calling yourself a nigger ,1,Saat putih negro wassup Anda video menyebut Anda negro,"['saat', 'putih', 'negro', 'wassup', 'anda', 'video', 'menyebut', 'anda', 'negro']"
383,is a faggot no cap,1,cap no fagot,"['cap', 'no', 'fagot']"
384,gabby i miss you too mongol japan ka,0,gabby merindukanmu mongol japan ka,"['gabby', 'merindukanmu', 'mongol', 'japan', 'ka']"
385,tailor mongol,0,penjahit Mongol,"['penjahit', 'mongol']"
386,john flower faggot weighs 700 pounds and lives in a college dorm refrigerator he doesn't own,1,John Flower Fagot Beratnya 700 pound tinggal kulkas asrama perguruan dimilikinya,"['john', 'flower', 'fagot', 'beratnya', 'pound', 'tinggal', 'kulkas', 'asrama', 'perguruan', 'dimilikinya']"
387,['it gonna need some time to create this thread but iodine got theahead from wifey to extinguish this pussy adenosine monophosphate tag e'],0,Ini utas yodium teh istri memadamkan tag monofosfat adenosin vagina,"['ini', 'utas', 'yodium', 'teh', 'istri', 'memadamkan', 'tag', 'monofosfat', 'adenosin', 'vagina']"
388,['robots is a fucking retard plentiful mound be going good just alternatively of leaving him in thither they take him out for not'],0,Robots gundukan berlimpah alternatif meninggalkannya membawanya,"['robots', 'gundukan', 'berlimpah', 'alternatif', 'meninggalkannya', 'membawanya']"
389,['those inbreed mongoloid americanized unamerican brazil military police and government cost dependable injection you get to be'],0,Mongoloid Inbreed Mongoloid Amerikanisasi Kepolisian Militer Brazil Amerika Pemerintah Biaya Tergantung Anda Menjadi,"['mongoloid', 'inbreed', 'mongoloid', 'amerikanisasi', 'kepolisian', 'militer', 'brazil', 'amerika', 'pemerintah', 'biaya', 'tergantung', 'anda', 'menjadi']"
390,does help that this roof is an absolute cunt off,0,membantu atap vagina mutlak,"['membantu', 'atap', 'vagina', 'mutlak']"
391,['what a faggot'],0,What a fagot,"['what', 'fagot']"
392,i am an ethnic estonia nationalist that follows the constitution you retard,1,Saya nasionalis Etnis Estonia mengikuti Konstitusi Anda rembuskan,"['saya', 'nasionalis', 'etnis', 'estonia', 'mengikuti', 'konstitusi', 'anda', 'rembuskan']"
393,ass dyke,1,Dyke pantat,"['dyke', 'pantat']"
394,ion no why that faggot liking yo tweet maybe he should suck yo dick,1,ion homo menyukai tweet yo menghisap kontol yo,"['ion', 'homo', 'menyukai', 'tweet', 'yo', 'menghisap', 'kontol', 'yo']"
395, i swearwhite people are fucking retarded ,1,Aku bersumpah orang -orang terbelakang,"['aku', 'bersumpah', 'orang', 'orang', 'terbelakang']"
396,['dominance have arrest human connected to suspiciouspackages containing'],0,Dominasi menangkap manusia terhubung cackracks berisi,"['dominasi', 'menangkap', 'manusia', 'terhubung', 'cackracks', 'berisi']"
397,an money johnny come lately no doubt i remember going there in 2010 when they had about 3400 home fan,0,Uang Johnny -akhir diragukan pergi 2010 memiliki 3400 penggemar rumah,"['uang', 'johnny', 'akhir', 'diragukan', 'pergi', 'memiliki', 'penggemar', 'rumah']"
398,they might not the new demographics of the democrats is from immigrants that do not have the same adverse guts,0,Mereka demografi Demokrat berasal imigran memiliki nyali,"['mereka', 'demografi', 'demokrat', 'berasal', 'imigran', 'memiliki', 'nyali']"
399,bout to get called a spic bra,1,pertarungan bra spic,"['pertarungan', 'bra', 'spic']"
400,that is actually fucked why does he even have a fantasy to begin with if he is that retarded,1,Itu kacau memiliki fantasi terbelakang,"['itu', 'kacau', 'memiliki', 'fantasi', 'terbelakang']"
401,have asked you if you secure the border and protect us citizens over illegal aliens you never ans,1,Anda mengamankan perbatasan melindungi warga negara AS alien ilegal Anda lakukan,"['anda', 'mengamankan', 'perbatasan', 'melindungi', 'warga', 'negara', 'as', 'alien', 'ilegal', 'anda', 'lakukan']"
402,oh shit i found another mongol themed folk metal bandntime to add it to my collectionnurl,0,oh sial menemukan bandntime folk metal bertema Mongol menambahkannya collectionnurl,"['oh', 'sial', 'menemukan', 'bandntime', 'folk', 'metal', 'bertema', 'mongol', 'menambahkannya', 'collectionnurl']"
403,twitter is the shithole country ,0,Twitter negara shithole,"['twitter', 'negara', 'shithole']"
404,['sissyslutfaggotbrendab reveal this milksop for the pouf she is sissyexposure free to'],0,Sissyslutfaggotbrendab milksop pouf bebas sissyposure,"['milksop', 'pouf', 'bebas', 'sissyposure']"
405,blown holding calls and he was short god these refs are retarded,0,meniupkan panggilan dewa pendek referensi terbelakang,"['meniupkan', 'panggilan', 'dewa', 'pendek', 'referensi', 'terbelakang']"
406,ya twatnnalthough i may download itlooks like handy stuff to know especially with my condition ,0,ya twatnnal mengunduhnya -hal praktis kondisi,"['ya', 'twatnnal', 'mengunduhnya', 'hal', 'praktis', 'kondisi']"
407,i was listening and watching some of kwame nkrumah's achievement to our country and africa at large on media hubs… ,0,Saya mendengarkan menonton pencapaian Kwame Nkrumah negara Afrika hub media ...,"['saya', 'mendengarkan', 'menonton', 'pencapaian', 'kwame', 'nkrumah', 'negara', 'afrika', 'hub', 'media']"
408,this series is even better knowing macho likes to use faggot as an insult,1,Seri macho suka homo penghinaan,"['seri', 'macho', 'suka', 'homo', 'penghinaan']"
409,   i criticise australia more than most but it is not a shithole like t ,0,Saya mengkritik Australia kebanyakan shithole t,"['saya', 'mengkritik', 'australia', 'kebanyakan', 'shithole']"
410,illegal immigrants are going to destroy america saddest thing really,1,Imigran ilegal menghancurkan menyedihkan Amerika,"['imigran', 'ilegal', 'menghancurkan', 'menyedihkan', 'amerika']"
411,dell is a better we than hoping he just has a mongoloid qi holding back his production,0,Dell berharap memiliki qi mongoloid menahan produksinya,"['dell', 'berharap', 'memiliki', 'qi', 'mongoloid', 'menahan', 'produksinya']"
412,his acting like a nigger rant is what showed me he was an idiot lot,0,aktingnya -kata kasar negro orang idiot,"['aktingnya', 'kata', 'kasar', 'negro', 'orang', 'idiot']"
413,['do i fa you dwell twat'],0,do i fa you dwell twat,"['do', 'fa', 'you', 'dwell', 'twat']"
414,me when i was in the 3rd grade talent show performingand a kid yelledurl,0,pertunjukan talenta kelas 3 berteriak anak,"['pertunjukan', 'talenta', 'kelas', 'berteriak', 'anak']"
415,['om babe thank you'],0,Om babe terima kasih,"['om', 'babe', 'terima', 'kasih']"
416,thing thong is high a save her,1,Thing Thong Tinggi A Save Her,"['thing', 'thong', 'tinggi', 'save', 'her']"
417,happy birthday talented mongol wish you all the best miss u die to and but,0,selamat ulang mongol berbakat semoga terbaik Nona Anda mati,"['selamat', 'ulang', 'mongol', 'berbakat', 'semoga', 'terbaik', 'nona', 'anda', 'mati']"
418,['nail waft a soup taker hah skin hell'],0,Nail Waft A Soup Taker Hah Skin Hell,"['nail', 'waft', 'soup', 'taker', 'hah', 'skin', 'hell']"
419,is timbrel the one who does that retarded arm thing looking like he in a half robot pose in a pop locking contest,1,timbrel orang terbelakang pose robot kontes penguncian pop,"['timbrel', 'orang', 'terbelakang', 'pose', 'robot', 'kontes', 'penguncian', 'pop']"
420,lost me at,0,kehilangan,['kehilangan']
421, its no longer united states it is trumpistan shithole country until nov 6 and later women and ,1,Ini Amerika Serikat negara Shithole Trumpistan 6 November wanita,"['ini', 'amerika', 'serikat', 'negara', 'shithole', 'trumpistan', 'november', 'wanita']"
422,['uncle 45 could you commit that wife of yours and her parents rearwards to whatever shithole land they came from'],0,Paman 45 Bisakah Anda berkomitmen istri Anda orang tuanya tanah shithole berasal,"['paman', 'bisakah', 'anda', 'berkomitmen', 'istri', 'anda', 'orang', 'tuanya', 'tanah', 'shithole', 'berasal']"
423,me waiting to be called a nigger at works i can go to he for my payout,0,menunggu dipanggil negro kerja pergi neraka pembayaran,"['menunggu', 'dipanggil', 'negro', 'kerja', 'pergi', 'neraka', 'pembayaran']"
424,thing thong one hundred,0,thong seratus,"['thong', 'seratus']"
425,i escaped the has but got kidnapped by the mongol again none,0,Aku lolos Had diculik orang Mongol,"['aku', 'lolos', 'had', 'diculik', 'orang', 'mongol']"
426,   and the rest of the country couldn give a fuck about your london shithole,1,Dan negeri bercinta shithole London Anda,"['dan', 'negeri', 'bercinta', 'shithole', 'london', 'anda']"
427,cut my hair short so far my families called me dyke pelona soldier and walter mercado,0,Potong rambut keluarga memanggil Dyke Pelona Soldier Walter Mercado,"['potong', 'rambut', 'keluarga', 'memanggil', 'dyke', 'pelona', 'soldier', 'walter', 'mercado']"
428, insert ching chong ping pong meme herehahaha funni funni' because his surname is pronounced li… ,1,masukkan ching chong ping pong meme herehahaha funni funni nama keluarganya li…,"['masukkan', 'ching', 'chong', 'ping', 'pong', 'meme', 'herehahaha', 'funni', 'funni', 'nama', 'keluarganya', 'li']"
429, you called people from shithole countries rapists and murderers while vehemently stating that mi ,1,Anda menelepon orang -orang negara -negara shithole pemerkosa pembunuh keras MI,"['anda', 'menelepon', 'orang', 'orang', 'negara', 'negara', 'shithole', 'pemerkosa', 'pembunuh', 'keras', 'mi']"
430,de dumb nigger genes for you they'll join the party actively trying to exterminate them,1,de dumb Nigger gen Anda bergabung partai aktif mencoba memusnahkan,"['de', 'dumb', 'nigger', 'gen', 'anda', 'bergabung', 'partai', 'aktif', 'mencoba', 'memusnahkan']"
431,look man ism sorry ism such a faggot hoe,1,LIHAT MAN ISM Maaf ism cangkul fagot,"['lihat', 'man', 'ism', 'maaf', 'ism', 'cangkul', 'fagot']"
432,banter the codeword of the cunt,1,olok -olok codeword vagina,"['olok', 'olok', 'codeword', 'vagina']"
433,i a spic that is making you choose between two dead people wanna gotta die never,0,Saya spic Anda memilih orang mati mati,"['saya', 'spic', 'anda', 'memilih', 'orang', 'mati', 'mati']"
434,one association quit vent en aide ax migrants,0,Salah asosiasi membantu migran,"['salah', 'asosiasi', 'membantu', 'migran']"
435,little nigger make moves,1,Nigger gerakan,"['nigger', 'gerakan']"
436,['radical left of center contributor calls sympathizer no helium not do sympathize'],0,Radikal Kiri Kontributor Pusat Panggilan Sympathizer No Helium Not Do Sympathize,"['radikal', 'kiri', 'kontributor', 'pusat', 'panggilan', 'sympathizer', 'no', 'helium', 'not', 'do', 'sympathize']"
437,['look at this retarded fuckstick'],0,Lihatlah fuckstick terbelakang,"['lihatlah', 'fuckstick', 'terbelakang']"
438,why would it be an automatic car in 1911 you total fucking mongoloid thecae,1,Mengapa mobil otomatis 1911 Anda total mongoloid thecae,"['mengapa', 'mobil', 'otomatis', 'anda', 'total', 'mongoloid', 'thecae']"
439,games not over till it over you faggot,1,Game Anda homo,"['game', 'anda', 'homo']"
440,how negro,1,Bagaimana Negro,"['bagaimana', 'negro']"
441,i don't speak thing thong being bong sorry,1,berbicara thong bong maaf,"['berbicara', 'thong', 'bong', 'maaf']"
442, venmo wolffis 10 for sucking your dick faggot  2birds1stone,1,Venmo Wolffis 10 Untuk Mengisap Dick Fagot 2Birds1stone Anda,"['venmo', 'wolffis', 'untuk', 'mengisap', 'dick', 'fagot', 'birds', 'stone', 'anda']"
443,you guys gotta clean that up it's gonna rot and bring disease,1,membersihkannya membusuk membawa penyakit,"['membersihkannya', 'membusuk', 'membawa', 'penyakit']"
444,which faggot is paying for new underwear message me f,1,Fagot membayar pesan pakaian f,"['fagot', 'membayar', 'pesan', 'pakaian']"
445,am i retard,0,retard,['retard']
446,call a timeout you mongoloid on river,1,Hubungi timeout Anda mongoloid sungai,"['hubungi', 'timeout', 'anda', 'mongoloid', 'sungai']"
447,a majority of europeans favor taking in refugees but most disapprove of eu’s handling of the issue… ,1,Mayoritas orang Eropa mendukung pengungsi menyetujui penanganan UE ...,"['mayoritas', 'orang', 'eropa', 'mendukung', 'pengungsi', 'menyetujui', 'penanganan', 'ue']"
448,the war on offensive speech is just as retarded and counterproductive as the war on drugs they tend to have to,1,Perang pidato ofensif terbelakang kontraproduktifnya perang obat -obatan cenderung,"['perang', 'pidato', 'ofensif', 'terbelakang', 'perang', 'obat', 'obatan', 'cenderung']"
449,dtmag border patrol agents discover nearly 200 illegal immigrants in remote arizona desert ,0,agen patroli perbatasan dtmag menemukan 200 imigran ilegal gurun Arizona terpencil,"['agen', 'patroli', 'perbatasan', 'dtmag', 'menemukan', 'imigran', 'ilegal', 'gurun', 'arizona', 'terpencil']"
450,if you white and wanna dress as a spic for hallowed go ahead i can give two shits real pelicans will just laugh,0,Jika Anda putih berpakaian spic for Hallowed silakan orang pelikan sorak -samar tertawa,"['jika', 'anda', 'putih', 'berpakaian', 'spic', 'for', 'hallowed', 'silakan', 'orang', 'pelikan', 'sorak', 'samar', 'tertawa']"
451,i was really walking around tailgate today high as pterodactyl twat,0,Saya -benar berjalan tailgate pterodactyl twat,"['saya', 'benar', 'berjalan', 'tailgate', 'pterodactyl', 'twat']"
452,dis dyke finny get brutalized about,1,Dis Dyke Finny Brutalisasi,"['dis', 'dyke', 'finny', 'brutalisasi']"
453,u see what colonialism does right i'd be having a blast writing vmin getting lost in mongol shobhajatra and ppl w ,0,kolonialisme .,['kolonialisme']
454,attention the shithole countries are coming here and it won't be very nice,1,Perhatian negara -negara shithole menyenangkan,"['perhatian', 'negara', 'negara', 'shithole', 'menyenangkan']"
455,chines thing thong carried by korea as always,1,Cina dibawa Korea,"['cina', 'dibawa', 'korea']"
456,pretty much hes a little dick faggot that needs his ass beat for a reality check that he ain't shit,1,Cukup fagot kontol membutuhkan ketukan pantatnya memeriksa kenyataan sial,"['cukup', 'fagot', 'kontol', 'membutuhkan', 'ketukan', 'pantatnya', 'memeriksa', 'kenyataan', 'sial']"
457,  oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… ,0,Ya mengerti menyambut migran mengambilnya ...,"['ya', 'mengerti', 'menyambut', 'migran', 'mengambilnya']"
458,debating whether to call the floor on a verbally abusive mega fish if he ends up calling me a faggot is not a healthy way to live,0,berdebat memanggil lantai ikan mega kasar memanggil homo sehat hidup,"['berdebat', 'memanggil', 'lantai', 'ikan', 'mega', 'kasar', 'memanggil', 'homo', 'sehat', 'hidup']"
459,['ism a fucking imbecile evidently'],0,ism a fucking dihancile,"['ism', 'fucking', 'dihancile']"
460,yeah but nowadays if you so much as make eye contact with a feminacy she's gonna accuse you of rape,0,ya Anda kontak mata feminasi menuduh Anda pemerkosaan,"['ya', 'anda', 'kontak', 'mata', 'feminasi', 'menuduh', 'anda', 'pemerkosaan']"
461,d d d d din want this bloke on site the chainman lot d d d,0,D D D D DIN Ingin pria situs Chainman Lot D D D,"['din', 'ingin', 'pria', 'situs', 'chainman', 'lot']"
462,think about potato potato thing thong tomato,1,Pikirkan kentang kentang tomat thong,"['pikirkan', 'kentang', 'kentang', 'tomat', 'thong']"
463,etesvous d’accord avec bernard kouchner qui dit que « nous devrions prendre plus de migrants » ,0,Apakah Anda setuju Bernard Kouchner mengambil migran,"['apakah', 'anda', 'setuju', 'bernard', 'kouchner', 'mengambil', 'migran']"
464,yeah as long as west ham fans are of fucking retard,1,ya penggemar West Ham -benar retard,"['ya', 'penggemar', 'west', 'ham', 'benar', 'retard']"
465,you retarder in the same special end class as flood,1,Anda retarder kelas khusus banjir,"['anda', 'retarder', 'kelas', 'khusus', 'banjir']"
466,left goes nuts after  calls countries shitholes insisting no country is a shithole now it's mig ,0,Kiri gila panggilan negara -negara shitholes bersikeras negara menyamak mig,"['kiri', 'gila', 'panggilan', 'negara', 'negara', 'shitholes', 'bersikeras', 'negara', 'menyamak', 'mig']"
467,oh nim don even respond to my other tweet you obviously half retarded,1,oh menanggapi tweet Anda terbelakang,"['oh', 'menanggapi', 'tweet', 'anda', 'terbelakang']"
468,you medical looking ass mongoloid ass not,1,Anda medis pantat mongoloid ass,"['anda', 'medis', 'pantat', 'mongoloid', 'ass']"
469,this is this mongoloid response to pointing out trump had an attempt on him before he was president,1,Ini respons mongoloid Trump berusaha keras presiden,"['ini', 'respons', 'mongoloid', 'trump', 'berusaha', 'keras', 'presiden']"
470,hits it like an arrow moved in the air another better from known even though an arrow goes straight the big money ugly cunt,0,memukulnya panah bergerak udara panah lurus uang jelek,"['memukulnya', 'panah', 'bergerak', 'udara', 'panah', 'lurus', 'uang', 'jelek']"
471,i stayed in i don't relate to feminacy useful idiots i enjoy living in a free country and am are,1,Saya tinggal I Dont Relate to Feminacy Idiot Berguna Saya menikmati tinggal negara bebas,"['saya', 'tinggal', 'dont', 'relate', 'to', 'feminacy', 'idiot', 'berguna', 'saya', 'menikmati', 'tinggal', 'negara', 'bebas']"
472,"[""it ' s true just at that place was a report today that said thither are twenty two million illegal aliens in the america and in""]",0,Ini laporan puluh juta alien ilegal Amerika,"['ini', 'laporan', 'puluh', 'juta', 'alien', 'ilegal', 'amerika']"
473,['what happens when a ashen person checks him and anticipate him a spiclike who or what volition he turn to'],0,Apa orang pucat memeriksanya mengantisipasi spicik kemauan tuju,"['apa', 'orang', 'pucat', 'memeriksanya', 'mengantisipasi', 'spicik', 'kemauan', 'tuju']"
474,azerbaijan sucks i just want to get the hell out of this country and never come back to this shithole,0,Azerbaijan menyebalkan negara shithole,"['azerbaijan', 'menyebalkan', 'negara', 'shithole']"
475,people retarded a don call me at no 12 am talking about no wreck,0,Orang terbelakang A Dont Call Me at No 12 AM berbicara kecelakaan,"['orang', 'terbelakang', 'dont', 'call', 'me', 'at', 'no', 'am', 'berbicara', 'kecelakaan']"
476,if america had another 8 years of obama's ideology via hillary we'd be well on our way to being a shithole country,1,Jika Amerika memiliki 8 ideologi Obama Hillary -baik perjalanan negara shithole,"['jika', 'amerika', 'memiliki', 'ideologi', 'obama', 'hillary', 'baik', 'perjalanan', 'negara', 'shithole']"
477,when looks are intelligentnfirst time came to know that someone retard like  can be described intelli ,1,Ketika penampilan cerdas kali retard intelli,"['ketika', 'penampilan', 'cerdas', 'kali', 'retard', 'intelli']"
478,sometimes i remember the time a whiny actualslurdefending taylor swift fan tried to claimis a slur and laugh,0,Kadang -kadang penggemar Taylor Swift -benar cengeng,"['kadang', 'kadang', 'penggemar', 'taylor', 'swift', 'benar', 'cengeng']"
479,  civilized countries where people are not armed are safe usa is third world shithole looking ,1,Negara -negara beradab orang bersenjata USA aman shithole dunia ketiga,"['negara', 'negara', 'beradab', 'orang', 'bersenjata', 'usa', 'aman', 'shithole', 'dunia', 'ketiga']"
480,i never seen monster squad in the first 10 minutes i heardtwice andtwice jesus christ w ,1,Saya monster skuad 10 menit mendengar kali & kali Yesus Kristus w,"['saya', 'monster', 'skuad', 'menit', 'mendengar', 'kali', 'kali', 'yesus', 'kristus']"
481,you faggot,0,Anda homo,"['anda', 'homo']"
482,you don know shit if you think that run was class you mongoloid fuck,1,Anda -apa Anda pikir menjalankan kelas Anda fuck mongoloid,"['anda', 'apa', 'anda', 'pikir', 'menjalankan', 'kelas', 'anda', 'fuck', 'mongoloid']"
483,y started drinking yet or y being faggot ass unicorn fairy,0,Anda minum Anda fagot ass unicorn fairy,"['anda', 'minum', 'anda', 'fagot', 'ass', 'unicorn', 'fairy']"
484,you a retard you comparing hitter to mike ashes get a grip of yourself,0,Anda A Retard Anda Bandingkan pemukul Mike Ashes cengkeraman Anda,"['anda', 'retard', 'anda', 'bandingkan', 'pemukul', 'mike', 'ashes', 'cengkeraman', 'anda']"
485,this dude really a faggot,0,Bung -benar homo,"['bung', 'benar', 'homo']"
486,['you fucking retarded one agreed that helicopters personify dangerous you twat that whole not the point'],0,Kau -benar terbelakang sepakat helikopter mempersonifikasikan bahaya twat intinya,"['kau', 'benar', 'terbelakang', 'sepakat', 'helikopter', 'bahaya', 'twat', 'intinya']"
487, can you get me and the one person i care about out of this shithole country please and thanks i wanna l ,0,Bisakah Anda orang pedulikan negara shithole terima kasih l,"['bisakah', 'anda', 'orang', 'pedulikan', 'negara', 'shithole', 'terima', 'kasih']"
488,just a shame your an absolute faggot,1,Hanya memalukan homo absolut Anda,"['hanya', 'memalukan', 'homo', 'absolut', 'anda']"
489,wow for real how is that the drivers issue user just gets more and more retarded as time goes on,1,wow nyata pengguna pengemudi terbelakang seiring berjalannya,"['wow', 'nyata', 'pengguna', 'pengemudi', 'terbelakang', 'seiring', 'berjalannya']"
490,  the people in the caravan were sold a bill of goods to escape thesecountries ,0,Orang -orang karavan dijual tagihan barang melarikan,"['orang', 'orang', 'karavan', 'dijual', 'tagihan', 'barang', 'melarikan']"
491,['insubstantial cringe into bed after a xiii hour nightshirt and then adjacent doors yappy little cunt sour a dog wakes upward'],0,Nyala ngeri tidur tidur malam xiii pintu -pintu berdekatan yappy asam seekor anjing bangun,"['nyala', 'ngeri', 'tidur', 'tidur', 'malam', 'xiii', 'pintu', 'pintu', 'berdekatan', 'yappy', 'asam', 'seekor', 'anjing', 'bangun']"
