,tweet,Hate_Speech
1270,little thing thong boy over here putting jailbreak in the title and stretching the video to 10 minutes for extra ad revenue,1
1274,that is actually fucked why does he even have a fantasy to begin with if he is that retarded,1
1283,hello just beriberi say thing thong nipple sometimes,1
1285,all gonna realize i like a massive twat one day,0
1286, that is abysmaln i hope he finds a way out of one of trump'sshithole countries oopps i forgot he loves saudi,1
1287,man is a walking twat,1
1288,a group of high school boys just drove past but slowed down for the front passenger to yell thing thong at me we,1
1290,9 getting visan10 glad to finally get out of that shithole country don understand why people still live in bar ,1
1297,i require a certain level of nigger,1
1299,'humanitarian emergency' doctors demand refugees be moved off naurusbs news  via ,0
1301,,0
1304,you retarded as fuck,1
1307,you are not funny anywhere so stop you retard,1
1311,why do some boys think it cool to act soft like mate you just look like a faggot,1
1313,well cry about it retard,0
1314,a 13 year old just called me a faggot jdjsskaksja the simulation is glitching,1
1315,that's true even if you love tariffs they're bad even if you hate immigrants they're good even if you love,0
1316,imagine someone says aching change and you suddenly feeling tranquil,0
1317,forest could win the league with record points recorded and don goodman will still say were shit the blokes a twat,0
1319,let a scorpion bag me cut i freaking retarded,0
1321,4 shots of don junior later i feel retarded,0
1325,i second that proper money,1
1326,laredo texasborder patrol agents respond to 911 calls resulting in the rescue of six male illegal aliens on fou… ,0
1327,nah he a dyke,1
1329,here's my problem with the word banter banter is an exchange of remarksnnif i call you a twat you call me a tw ,0
1330,karma is a fucking cunt don ever fucking forget that,0
1331,first of alln mama spic n spannmet you one summernand it all began first line that problemati ,0
1334,yo waitress tells me story of her arrest for assaulting dope on bus who insisted on using word faggot is,1
1335,this photo called me a dyke and spic then spat in my face and broke my arm,1
1337,im ggoneee imagine telling me a negro to report colorism to bh when a few months ago i was called a nigger and selfish,0
1340,ugh i wanna eat your cunt,1
1343,absolute mongoloid rematching old drama for the sake of views,1
1345,man thing thong sometimes the simplest slander be the funniest,0
1351,extra spic,1
1354,deemster is a fucking cunt,0
1355,jack a retard can even get the logistics of the ape together,1
1361,dope new gospellighter flick soul beat win fire already keep in mind i'm a negroso my open min… ,0
1362,medical,1
1363,am sorry to hear that you can go back to your country to use what you have learn,0
1364,you a cunt and an embarrassment to my club,1
1366,some mongoloid ordered 9 dozen donuts by 8 am then called back to see if we sell craft coffee,1
1369,shithole country road bumps with no signage blamed for deadly night accident in naivasha what say you  ,0
1370,just fast forward this section unfunny twat,1
1372,i mean this in the most platonic dyke way but,0
1373, haiti is listed as the second worse place to travel to so that is a shithole and he wasn't talking ,0
1374,i have never been called a kike or anew until began his campaign his hateful rhetoric ha,1
1375,maybe i just retarded,1
1382,i buy regularly but there are alternatives for all of t,0
1383,fuck off faggot,0
1384,look there are leftist terrorist too like the guy who shot up the softball game but that is who you can compare,0
1386,don't take the allegations seriously that's feminacy brainwashing see it for what it is context is everything,1
1389,if you don think the pittsburgh synagogue shooting wasn hate relatedyou retarded,0
1390,if he was a 11024th middle eastern leftist they be calling this the largest terrorist attempt since 911nnbut ,1
1391,6282018 four illegal aliens are accused of kidnapping and raping two teenage sisters 13 and i,0
1392,full grown man fancy dress for hallowed wank stain certified twat,0
1394,thanks spic,1
1399,why did wane collar with a decaying negro,1
1408,golden visas how some wealthy immigrants abuse queen's immigration pro via,0
1412,  yeapspic and wet,1
1415,how about not being hellbent thing thong communists who want to oppress anyone who isn't,1
1418,bitch shut yo retarded ass up looking like a great value tipsy hustle,0
1419,in other words it'll become a shithole state instead of a shithole country ,1
1421,we visited taipan once hope we can go back to your country someday,0
1425, wow and i remember when she tried spinningcountries people were likeshe okay no she human garbage,0
1433,i tweeted at already i mongol,0
1438,just tucker you mongoloid,1
1440,what a faggot,0
1441,i said the same in a group message and was called basically retarded for that and i ain even a dodgers fan lot it simple,1
1442,why is this game so glitches cunt have to complete challenges like 4 times before they actually count,1
1443,what a money like,1
1445,thing thong one hundred,0
1448,africa is a shithole because it's full of africans south america ditto arab countries fare better due to oil but ,0
1451,turning away refugees is kind ignoring the sick kind using campaign funds to pay your,0
1454,you retard,1
1461,lyssa andiron is a spic,1
1463,instead of saying immigrants are a a threat to national security we need to acknowledge that there are plenty of,0
1464,just another false flag attack by antifa and the leftist mobnnno one could have expected a man with pictures of ,0
1466,i called donald rumsfeild a raghead on the internet a long time ago,0
1467,ism a man and you're still a retard,1
1469,ran is a cunt,0
1471,i got banned once because i called designer a retard,1
1473,is this meant to be funnyfuckin cunt ,0
1475,answer the question faggot bow it was me,1
1477,still a fucking twat,1
1484,but he's our cunt luff,0
1485,people living in shithole countries shouldn throw stones treeoflifesynagogue ,1
1488,i can easily turn you from a straight boy to a cock thirsty cut addicted faggot black cock that inn,0
1490,up a demo believing retard,1
1492, wtf are you saying we did not cause their shithole countries to collapse your example of destroying my ,1
1493,joyous anniversary en retard league of legends,0
1495,this is this mongoloid response to pointing out trump had an attempt on him before he was president,1
1498,always the nights you stopped drinking so you feel fine in the morning are the ones that cunt ya,1
1499,ces migrants qui veulent s’investir pour l’europe ,0
1500,fuck this world and fuck this huge fitted mongoloid,0
1501,he looks like he call me a dirty spic with that hair that long amp blonde,1
1504,this is better,0
1505,the only men the democrats see as having rights are themselves and illegal aliens ms terrorists et,1
1506,hey cupcake your shooter terrorist extremists is a leftist anti trumpet but your anti let thoughts are noted the,1
1507,yes u uneducated spic,1
1513, three or four years ago america was not a shithole country it is now,0
1514,does that increase how much of a dyke she is likebabies of dykes can take pics iunno i just drawing from wherever,0
1518,why is it overtime i get a train i always have some cunt sat in my reserved seat,1
1521,soberanalysis nshould be viralnmsm has gone full retard ,1
1527,ninja who hagbut seriously this guy is literally retarded not every likes to show off its m,1
1531,i support crackdown on illegal immigrants for numerous reasons but a wall won't stop any,1
1532, you called people from shithole countries rapists and murderers while vehemently stating that mi ,1
1535,i was just watching a shitty tiptoe about that retarded overmatch song and i wanna die after watching it bra,0
1536,like who kris commons the soup taker,0
1538,typical liberals but they are the party of tolerance and women and blacks and illegal aliens and whatever,1
1541,nights be getting beat up by their dukes dyke girlfriend saying she got too much testosterone,1
1545,it actually ties with being a nigger the,0
1547,peace by chocolate treats from syria refugees reach international space station,0
1550, secret instagram that's not your main where if your're a white girl you can say nigger and if you'… ,1
1552,palabek refugee settlement centrelamwo district is host to 31173 south sudanese refugees uganda,0
1553,today's ridiculously vapid intolerant cuntradiction brought to you by the letter t currently ascendertransitio ,1
1556,literally just heard a co worker cuss out her boyfriend on the phone calling himretard and a fat fuck like tak ,1
1558,my homie glory just pulled up on me my place finny be spic amp span folded drawers and all hate cleaning,0
1561,examples of the verbal abuse i took last nightnn fucking freak show faggot so uglyyour face is g ,1
1562,the chines in our area is weak i would personally go thing thong crazy to access your orange chicken regularly,1
1563,hey i thought you hated being called a retard,1
1568,someone's about to get their negro wake up call,1
1571,thoughts about alley baby boy he cool better than me a guitar per a vocals hide mongoloid soya h,1
1575,how negro,1
1576,booooooom you smelly cunt it's about time lufc had a bit of luck fuck forest love leeds lufc mot ,0
1577,so the number of illegal aliens is twice what was reported democrats,0
1584,can u take your aggression on that lady behind me she a giant twat,1
1589,pretty much i would let gemma know that she is a fat cunt and the shoes that she gave me were not something that i,1
1591,piers morgan is a fucking faggotnwe all know thisnjust point n laugh,1
1592,old guy bangs young twat,1
1593,send refugees back send illegal aliens back why are are being so hostile to these people,1
1594,it'd assume he has an entire mongol horde to back him up so probably nothing,0
1595,ex said fuck nigger lives and left,1
1602,gay retard,0
1603,right it the synagogues fault for not arming their place of worship with guards are u retarded,1
1607,remember to drinkgamble responsibly otherwise you end up like this twaturl,1
1608,never go full retard,0
1611, literally 5 minutes after the vote was in that twat farage said on good morning britain that the 350million thing was a lie,1
1612,dis dyke finny get brutalized about,1
1615,orders from ching chongn20181025 1249belgium item held by customs awaiting presentation to customs commissione ,1
1616,imagine getting jumped by the chines mafia and one of them yells aching change,0
1619,i wanna see up retarded dog,0
1620,she anna got a clue whats going on its that money spouse bird from love island who was asking if yer,0
1624,yep biased twitter turds got 12 myself for calling a white female muslin convert a bit,1
1625,the irony of unwashed cult fans calling anyone a soup taker you do remember,1
1627,i like how you had to between my comment instead of just replying to it quit being a faggot and fucking reply next,1
1628,this is what unrestricted immigration does the people coming in soon turn your country into the shithole they left ,1
1632,fucking cunt,1
1633,so oof is medical and he just called me a nigger,1
1637,the only semi thing thong song i like,1
1640,of retard,0
1645,wow for real how is that the drivers issue user just gets more and more retarded as time goes on,1
1647,watching charges on twitch is like taking care of an retarded child if you ever let go of their hand they are gonna,1
1648,no darling yo yes spic english,1
1649,it is indianarmy and not hinduforcesif hindus had forces kashmiripandit wouldn’t have been refugees amp… ,0
1651,paging do faggot,0
1656,if the name was thing thong indie chines version of push man bharal then would have been accepted,0
1658,he retarded,0
1659,don't do it i did it and it's impossible to keep such a nightmare i also looked like a feminacy a,1
1660, hell i'd take it if we'd agree that illegal aliens should be deported if they did what kavanaugh i… ,1
1662,don't be aggressive toward my best girl you fucking mongoloid,1
1663,why is drunk me such a cunt,1
1665,portland grants 500k for immigrants' attorney fees ,0
1668,remember when this dude was on strangers with candy making retard jokes,1
1670,good luck in your semi the day ya his cunt,1
1674,bra i have a crush on a girl named onion and she has a crush on another kid he a retard lot and i,1
1677, whah whah i wish we had socialist healthcareevery retard of america,1
1678,you a retard you comparing hitter to mike ashes get a grip of yourself,0
1680,what sort of mongy comes to a 2 and half hour train journey w no headphonescba,0
1681,   well he did say he wants immigrants with blue eyes and did call us shithole countr ,0
1683,wanna be spic,1
1684,today at a party a girl said i was retarded hot and no compliment from any dude can ever top the blushing i did,0
1685,this is what having a good jewfish lawyer n money will this night still retarded n dumpy than a hoe,1
1686,you're one gay retard,1
1687,don't b retard see his body language he is in gesture of respect,1
1689,adding on to this saying “ching chong” just because im asian doesnt mean i say it is that what all you arrogant nonasians think we say,0
1692,he went full retard never go full retard,0
1693,did he target the jews in the media the bankers the zognthis faggot probably killed some stabucks barista jew and accomplished zero,1
1697,met world peace,0
1698,peel that ass back monkey style faggot,1
1700,to saves does migrants,0
1706, insert ching chong ping pong meme herehahaha funni funni' because his surname is pronounced li… ,1
1708,you wanna call me a nigger with your whole chest and then block mike bitch,1
1711,fuck you dumbass bitch stupid ass idiot fucking crap load of bullshit useless ass cunt headass asshole itsimpossib ,1
1712,looks like you got the retarded horse from family guy,0
1714,i know i cooked when i start acting retarded,0
1722,thing thong ding dong,0
1724,  i just grateful that my country wasn full of savages and left it in a shithole ,1
1725,trump follower nim not shit's you one damn bit forest trump is get's rid of them stogie ahead reporter t,1
1730, can you get me and the one person i care about out of this shithole country please and thanks i wanna l ,0
1734,that's the point nigger,1
1735,dear mongy stokecan ya stop fighting or whatever is it you doing outside the ground so my coach can leavescfc stokecity,0
1738,   then why does it say limited edition and not limited to fortnitemares you mongoloid lmao,1
1739,everything was a spic from my nature of listening to alternative rock,0
1741,catch these hands at the overmatch meet retard,0
1742,it a sign to your true calling of you cutting grass spic lmaourl,1
1744,faggot ass dodgers,1
1754,grant asked me to come but it was so short notice the retard should picked me up,1
1755,i been using mongoloid a lot more lately imbecilic does really have the punch i,1
1756,i haven't got a chinaman's chance,0
1763,ex can suck a dick can't even have a good t side fucking big retard wonder how lily suddenly b,1
1764,timer starts faggot,1
1769,meanwhile the leftist globalist monsters are trying to blame this hate crime on trump too don't you know every,0
1772,top fucking 5 and some mongoloid comes behind me and fucking two taps me with a god damn double barreled shitty fuck that,1
1773,stop tweeting and go back to your country you are a tourist in kenya controlling our economy,1
1774,sorry your question was too retarded for me to answer,1
1775,have him blocked hes an absolute mongoloid,1
1776,i listened to this shit as a lil spicsinging all the lyrics i didn know ,1
1779,this man's a cunt sorry for the use of that word but he's a dead set cunt,1
1781,l'aquarius cherche un port pour accoster avec 11 migrants libyens  via ,0
1782,flyblown retard in this corner,1
1783,are we going to let trump turn america into a violent shithole country,1
1784,ism fucking retarded,1
1785,epic tweet,0
1786,great president my ass that nigger faggot used the white house to suck michelle michael dick you liberal jerk off,1
1787,trying to help people when ism literally a dumbest cunt who can't help shit,1
1789,and now you white nigger,1
1790,glad that the despicable trump fan magabomber was so quickly found thanks director wray and fbinnonly negative i ,0
1791,i can only express myself through a robust mongoloid,0
1794,i hate every cunt on this planet i swear,1
1798,this is what i picture when someone calls another person mongoloid,1
1801,fck whatever retard put me in here thinking it was remotely a way to do anythingnnwhat a fckn disgrace ,1
1802,  no looks like your mongol turkish sister's widding son of atagaymal and erdogan lol,0
1805,how much do you hate that photo thoreport harder mongy chops i just open another account,1
1810,don't you disrespect the flag nigger,1
1814,stick a rag round her head an shut the cunt up still bad enough we gotta endure her shit song twenty years later,1
1816, lmfaooooo dawg u retarded,0
1818,feminacy fake news,0
1819,shithole country ,1
1820, willy insipiyah me as artist i dance on his grave ching chong bing bongurl,1
1823,you are a twat,1
1824,  why are we having all these people from shithole countries come heretrump nnhe ,1
1827,right cuz the people fleeing theircountries made sure to pack their iphones so they could check your tw ,1
1829,i can't believe i live in a terrorist country that is headed to the shithole list due to its environmental policies ,1
1832,maybe a radio a nigger,1
1833, i swearwhite people are fucking retarded ,1
1837,can people please stop using the wordyeah it sounds funny but it short forwhich is a real ,1
1838,faggot,1
1839,think u spic flair,0
1841,shut up negro,1
1846,pro that expected i sparred this mf and his pace is retarded,0
1852,avid warned is a right royal twat but if the hushes family are blaming anything other than a freak accident for t,0
1854,when looks are intelligentnfirst time came to know that someone retard like  can be described intelli ,1
1856,sad cunt,1
1858,and white areas though reminds me of the trump countries stuff,0
1859,hah that's retarded here's another definition for you,1
1860,bring disease,1
1861, buncha people from shithole countries coming out here to bring down the economy and free healthcare and ,1
1865,if there was any decency left in this shithole country at all richard spencer wouldn't be able to stick his hand o ,1
1868,what an colossal twat,0
1869, just look up macrons eurafrica or the union of the mediterranean he wants millions more,0
1870,faggot adamant,1
1872,it's just another money twitter account shun just report it for its racist remarks as i have just,0
1875,i love pharmacists in this town even tho one is a total twat he helped me out cops the other pharmacist was fawn c,0
1880,love yourself you cute little twat,0
1881,twat on the left keeps telling me to just stopstop whatdefeating them at every electionstop cancelling all of th ,1
1883,i think you're the kind of person who would hear someone say him against illegal immigrants come,1
1889,junior arias my spic,0
1893,hopefully it's also because illegal aliens are going back to their indigenous country amp will await,0
1895,delete your account you horrible twat,1
1897,this border trash is not coming in go back to where you come from,1
1898,i don't like to make it all known n shit ism better at playing the spic pot head who's just getting by,1
1901,    en quoi parler de nombre de migrants devient une statistique ethnique on… ,0
1903,my son is such a little faggot fuck you even i hate changing your disgusting diapers,1
1907,who the retard at epic who thought monsters was a good idea,1
1911,this picture called me a faggot and then said no homo,1
1912, because with out the illegal aliens voting they demsloose power,1
1914,time is moving so slow and i already an impatient person naturallythis is retarded,0
1916,called the country of her parents birth and sh,1
1917,i don't give a fuck about your little thing thong k pop dude hopefully in his next life he can actually see and sing,1
1918,donate trump wants a wall across north africa to keep refugees out of rope,0
1923,when trump or ends up in jail he will be the hunted instead of defenseless animals in africa,1
1932,dawg why all yaw michael myers masks look retarded ,0
1934,some white person with the word spic on their handle got red on my timeline earlier and like why would u have that,1
1936,do you just between buzzed news and pretend to be a retard i mean hey its a good bitty bit is the same,1
1938,lei u must me on drugs because up behaving like a faggot,1
1941,but seriously locking up refugees in offshore detention centers for years is barbaric and everyone involved should suffer the same cruelty,1
1945,eh you're a faggot no one cares about you,1
1949,finally faggot was,0
1951,debating whether to call the floor on a verbally abusive mega fish if he ends up calling me a faggot is not a healthy way to live,0
1953,officials who created sanctuary cities as a haven for illegal aliens should be held responsible for their criminal,1
1954,this rightwing conspiracy theorist said this week's mail bombs were just 'leftistsgoing all out for midterms',0
1955, shit watch my twitter get locked again for saying the faggot word victoryroyale,1
1959,roses are red like rice you cunt garvey price,0
1961,i get that you encouraging folks but you know you can give your shithole scholarship back to your shithole country ,0
1973,if a dirty new has been in a house i own sell it,1
1974,loom bands aren't faggot culture,1
1976,its crazy how half us it's babies got old souls and the other half retarded a,0
1977,i don't even fucking watch baseball and even i think this tweet is fucking retarded you say a lot of stupid shit b,1
1983,dyke finny get picked one fine day,1
1984,i cant believe people are so retarded,0
1987,if tana mongoloid doesn't headline i not going,0
1989,this man weepy said keep in mind ism a negro so my open mind got a screen door,0
1991, what about the ones that are sexually assaulted by illegal aliensdreamers confirmkavenaughnow askingforafriend,1
1993, just your mongy fans who decided to nick it off wednesday then use forest in it but your lots not fus ,0
1997,your best do the black negro tenia due her,0
1998,lot all you do on diva is eat stuff kill someone retarded ism bad,1
1999,not went full retard,0
2001,there was a fucking shooting today in pittsburgh you mindless twat ,0
2004,   those toddlers are illegal aliens whose parents broke the lawdummy you left out “white guy”,1
2005, then why are they carrying the flags of their shithole countries they are fleeing fromnif they esca ,1
2006,have robots must be the most retard manager evert is he doing putting in these sorry pitchers,0
2009,get out of our country ahead,1
2010, he's working on turning the us into a military state shithole country soon he'll have the military ou ,1
2012,what a horrible twat follow,1
2013,i think that translates into nyou twaturl,1
2015,i stag when i was younger i used to be mad stupid my mental state was people die just keep your eyes open on i was retarded,0
2020,whenever i hit 1000 followers i feel so selfdestructive like a nigger near a cop car,0
2021,hell yeah i always wanted to fuck a truck with a retarded name,1
2022,low iq is he a spicnnavg iq is this false flagnnhigh iq why did he paint hair on his head ,1
2025,grow up you daft twat,1
2030,how she slaying and retarded you bitches got no excuse now,0
2035,   is donald trump a retard most people who study down syndrome are sayingurl,1
2036,safepathways are the only way refugees refugeeswelcome ,1
2037,stop copying my art you twat,0
2038, america is a shithole country with no morals,0
2039,man i just argued with a twat wearing a scouter twitter is funny like that innit,1
2040,there antisemitism present and virulent in every community from leftist to far right from conservative christy,0
2041,a majority of europeans favor taking in refugees but most disapprove of eu’s handling of the issue… ,1
2043,which america turned out to be the best land for civilized people or negro people because there are less earthquake,0
2045,being bong thing thong look i avian lot,1
2046,ism just waiting for him to say nigger honestly,0
2049, problem iswhenever i post that splc study in response to right winger claims aboutviole ,0
2055,okay yestrump shouldn't call them shithole countries a little respect is in order they are shithole nations,1
2059,what a procedure cleaning the outside of the press  spicnspan ittakesalottabeer ,0
2061,prepare to go back to where you come from manny lil mama machadoyou are a punk ya lil mama go back where you ,1
2062,relax faggot of course his thoughts amp prayers are with them but no one asked him to tweet the,0
2064,of maybe will send to you when i finished,0
2065,good job nbc a sterling performance by this country shithole media  ,1
2068,it's a religion u retard,0
2069,i see in brown has handed your are on a plate annas you were ya plastic man twat,1
2070,as always we pray for world peace and for those trying to resolve the issues surrounding migrants and refugees,0
2077,this is awful but this man is a faggot himself how is he a homophobe,1
2078,look at this mongoloid two fucking years later and he's cracked it a real fucking altered mistime,1
2080,fuck the zombie apocalypse its never gonna happen nim more worried about the thick cunt apocalypse its already upon us,1
2083,radical leftist contributor calls sympathizer no he not does sympathize,0
2085,man is absolute mongoloid can believe cheese fans have outed him,0
2087,bitches say they crazy but they really be retarded,1
2091,my car was starting and like the faggot i am i called my father to help luckily he knew exactly what was wrong u,0
2092,y'all have enough energy to call someone a faggot and to reply with such negativity but,1
2093,  god knows californians are unstable i think california could be one of those shithole coun ,1
2096, eurafrica but its 100 white,1
2101,not that fucking idiotic manager i never liked him he makes retarded decisions,0
2103,i know it sucks being white lol y’all made the word niggernigga amp now y’all can’t even say it,1
2111,probably a retard for facedoxxing considering i cannot contain my disdain for jws,1
2112,ion no why that faggot liking yo tweet maybe he should suck yo dick,1
2128,i was suspicious of the bombs because it only would make sense if it was a false flag o,0
2132,really wish that chinaman wouldn't have blown up my dog because of gamergate,0
2134,this faggot next to me at the gym is a sox fan and everyone looking at him like he retarded,1
2135,just imagine a president without simple academic qualifications see this country is a shithole no lies,1
2138,hey you know what's the difference between you and a fucking faggot the faggot isn't as gay as you,0
2143,swedes am i will continue to pursue the issue of compelling countries to accept a quota of refugees coming to but,0
2148,ink what timezone my dad is in but he be saying it's 300 but i look at my phone and it say 130 like of retard,0
2149,we are the shithole country ,0
2150,yes you are a mental retard,1
2158,that cross cross arm dance that little white boys love to do is the new way of calling someone a faggot,0
2163,didn go out today was lazy so i cleaned my place huhuhu it feels so nice seeing it spic and span esp my carpet ,0
2168,spineless twat,1
2171,there is a difference between refugees and migrant workers the latter return home after to,0
2175,the war on offensive speech is just as retarded and counterproductive as the war on drugs they tend to have to,1
2176,you don't have enough gook in you to thing thong me that badly,0
2177,world goes crazy over shithole countries  via ,0
2178, eurafrica had a trial run in south africa and rhodesia,0
2180,consider yourself lucky she's fucking retarded,0
2181,u look like a dyke,1
2183,wealthy wouldbe immigrants told to lie about their assets intentions — even their identitycbc news… ,0
2184,you live in a economical third world shithole with murderous out of control drug cartels running it where your ci ,1
2190,my ahead is a million times better,0
2192,no illegal aliens should be voting in our elections,1
2193,also answered your retard question u just did like it cops it hurts your little wig,1
2196,  the people in the caravan were sold a bill of goods to escape thesecountries ,0
2201,i vote we bring back the word retard,0
2204,clocksback is a cunt for those with insomniadon poke the bear today ,1
2206,mojo it was a spic from my picture,0
2207, how bout mexico's not sending their best people or fine people on both sides or shithole countriesyeah,1
2208,negro if that ain't bars ink what is,1
2209, failing to condemn they are actively promoting bigotry do the terms shithole countries ring a ,1
2212,the twat in the white house,0
2214,not true they care about illegal aliens and museums anyone but america,1
2220,mid it's smelly pay bulk mom trying to send her retard bulk kid goons on my car at nights while i sleep don't have a camera up yet report,1
2223,all thing thong no ding dong,1
2227,democrats defend the illegal aliens support sanctuary cities create racial divide back and fund up with tissue,0
2234,tell the twat who thinks that to f off i think your series is great and i gain a lot in my game from watching you,1
2235,one blood is a negro spiritual,0
2237,one time i got called a spic at a soccer game and almost through hands with the white dude,0
2239,it spic you idiot,1
2244,this negro is batshit crazyfor actually spending money to redesign a maga hat cuz they needed a better aestheti… ,1
2245,  civilized countries where people are not armed are safe usa is third world shithole looking ,1
2246,those inbreed mongoloid americanized unamerican brazil military police and government are good shots you got to be ,0
2247,i can't believe the number of retarded jokes i heard in the past couple days though all it's 2018,0
2248,you a faggot cunt,1
2252,yeah give said the word night amp spic when pissed but give also been called gringo amp crack plenty of times sometimes,0
2254,  cadetbonespursnhere you stand all spic and spannwhere were you during vietnam ,0
2256,i think train should do comedy negro really funny a brush,1
2257,mongoloiddevosaw this vidheard song i fink 4the 1st time just a few days ago  my mongol ,0
2261,do it you twat and make sure to add some beans you degenerate,1
2262,your gonna put your hand in my ass faggot,1
2263,that is the goal of the doc import and addict immigrants welfare programs in order to guarantee,0
2266,canada is a country of old immigrants mixing with new immigrants and families from everywhere just try,1
2270,your cousin called she has some news y are having a mongoloid baby boy,1
2273,and a thing thong nip long to you too lady,1
2275,so right you are spic to a my love niger six,0
2276,austria here the sorts paid protestor m was a big factor in the austria,0
2278,desh wasionsonia gandhi ne aapke 1 lakh karod anil ji ko de diyennsounds retarded right u pidi's that's how ur b ,0
2284,they do retard,1
2285,,0
2289,what a century,0
2292,hey there like 1 guy on tie to ironic shit that hot as fuck i just saying i a faggot for that dude,0
2293,pollen negro,0
2296,a concha you spic,1
2298, yup asylum seeking immigrants and people from shithole countries are the problemnnyup nnthey sure ,1
2299,efficiently is the biggest retard on the planet,0
2301,my hobbies include being the table entertainment in art dressing like dyke basketcase and missing tpobaw,0
2302,drunk retard or high retard who will win this battle it's me bow,1
2303,my only regret is that i wasn't there to beat the shit out of those feminazi's well it looks like alisonhrabar is… ,1
2304,time to set up the twit twat,0
2305,not sure but when did the toxic feminacy all men are rapists movement start that would help answer your question,1
2307,full offense but i dead's heterosexual because of this have never heard of being a faggot in my life,1
2308,and retard,1
2309,i hate spic bearer,0
2310,did even notice until a friend pointed out it said spic,1
2311,it was antigen retard,1
2314,oh no the mongoloid brigade have come out to troll epic,0
2317,iconic and factual the best thing that sloth little cunt has said in a long time merry sturdy you filthy ani,1
2321,sissyslutfaggotbrendab expose this sissy for the faggot she is sissyexposure free to ,0
2324,broi tweeted it out before he was caught border line retard conned by fedsnnurl,0
2325,deport the ahead,1
2326,tell them he called me a spic,1
2330,thing thong change i tired,0
2332,shut the fuck up you fucking furry faggot,1
2334,he is a retard,0
2335,i am not faggot don't forget,1
2336,737an 8letter word forcavemanengi,0
2339,sarah silverman has goneretard ,1
2343,so is robert bowers a muslim or mexican or media or leftist woman or refugeenwaiting,1
2344,well guess what nigger the cops are already on the way,0
2345,hahaha justin is a retarded hobbitni mean we were all thinking it ntheendless frightclub,1
2350,this should encourage y to do your work by yourselvesyour guy is retarded and can do bad things anytime he wishes,1
2352,bloody psychopath give resign and go back to your country pakistan,1
2355, not that i think you a twaturl,1
2356,that should bother you you mostly spic,1
2362,ice arrested undocumented immigrants who came forward to take in undocumented children,1
2363,mark wilson on clyde talking like a total souptaker regarding aberdeen their fans and tickets shame on you wilso ,0
2368,what a twat,1
2371,she retarded your honor,1
2374,you retarded i did know they make people this stupid might want to kill yourself before you drop the collect,1
2378,this is retarded ya dah,0
2379,die retard,1
2380,what a shit century,0
2387,really no hate against jewish people but mexicans haitians etc from those shithole countriesand muslims is ,1
2390, deleting all my past posts since 2001 where i use the termhead andfucker ,1
2392,svenskeren is fucking retarded level 4 xin chasing level 6 viktor under tower and btw he was only level 4 becaus ,1
2393,the i can think of anything worse than singing outside a pub with a bunch of money south walling,1
2394,fucking retard,1
2396,dude shut the fuck up you a fucking 3 year old in a fat suit disrespectful cunt you real,1
2397,nope i didn't use any mongoloid there it's solitary to go i know that there are for,1
2399,my goal today is to get this house spic n span,0
2405,i drunk i not retarded,0
2406,what an absolute cunt what is the fucking point in this no different to shooting a target at a range if the fuck,1
2411,our coach is a fucking retard,0
2417,the faggot is still at it,1
2418,do i really have to worry my whole life if i say spic crack or night or fag by accident no i don't amp that pa creme,0
2419,senator thing thong asking dumb questions can she get netted,1
2420,on god i become a dyke for you,0
2422,where to they do this at side note that dyke dumb thicker,1
2424,oh no y better tell on his faggot ass,1
2426,fucking retard man,1
2427,“go back to your country beaner lmaoo” ,1
2431,do i fa you lying twat,0
2432,go fuck yourself you orange twat,0
2435,reminder that donegal is the biggest shithole in the country ,1
2438,it's terrorist week still rightwing whiteguy same as it ever wasnnso take your restaurant whining leftist mob ,1
2439,my brother in law used to be horrendous for this until to told him to stop being a tight twat,1
2440,newprofilepic ching chong 100 ,0
2441,this is so fucking bad cheeses what a self righteous cunt,1
2444,holy shit models actually have to tell themselvesforget to breath hot chicks really are retarded luxurycard,0
2448,avid laid the most unnatural looking cunt in the world,0
2451,you dumb so dumb no home just dumb eat shit you racist twat,1
2453,sometimes you will talk yourself right out of a blessing and that's what this negro just did because i blocked him,1
2454, family guy holds no bars with stuff they sayracist sexist the lot will never change because some ugly cunt complains about it,0
2455,ya twatnnalthough i may download itlooks like handy stuff to know especially with my condition ,0
2457,coming to roadway this season a robust mongoloid the musical,0
2460,lot dreamers aren't just illegal aliens,0
2461,damn shanty called me a nigger and got suspended in like 3 seconds man,1
2464,wouldn't expect any different from a far left hypocritical feminacy twit get professional help asap because think,1
2465,syria has seen at least 500000 deaths and 11 million refugees nothing that happened in libya comes close,1
2468,get an aids test tompion cuss your wife's a dude faggot garrison southpaw,1
2470,holy crap that thing thong font,1
2471,i hear canada is nice and they like immigrants just saying,1
2472,time to self teach myself an entirely abstract language just to learn what my favorite thing thong boys are saying,1
2473,a better example me a black person calling a punish people a spic candor wetback,1
2474,was on the sound off radio show in past robles today we discuss illegal aliens voting community safety and more,0
2480,it's not timing it's being a complete cunt end of don't ever moan again when it's done to you,1
2483,what's a money,0
2484,peternmichelle shut up you fucking faggot loser musty bitch go die in a hole,1
2485,thing thong eat dog,1
2487,   maybe they should stay in their shithole countries and stand up to the mess their politicians built,1
2488,i stayed in i don't relate to feminacy useful idiots i enjoy living in a free country and am are,1
2491,if you are making jokes about the scenes in leister right now you're a cunt,0
2496,who is thing thong is he a ploy for the avian market,1
2497,dell is a better we than hoping he just has a mongoloid qi holding back his production,0
