,tweet,Hate_Speech,translated_tweet
507,to a lot of ya i may sound dumb retarded or whatever personally none of ya opinions have ever mattered i just do,0,Bagi Anda terdengar bodoh terbelakang pribadi pendapat Anda lakukan
508,god you look like a faggot,1,Tuhan homo
509,political correctness is turning our country into a shithole it's a tool of far left extremists to divide and cont ,0,Kebenaran politik mengubah negara shithole alat ekstremis kiri membelah membagi
510,they literally can you mudslinging retard,1,Mereka -benar Anda retard
511,that's true supports drivers licenses for illegal aliens the governor's ply,0,Itu mendukung lisensi pengemudi alien ilegal .
512,they are not thankful that they can live in rope or up why demonstration for what go back to your country,1,Mereka bersyukur hidup tali demonstrasi negara Anda
513,with megyn on thiscares what lew says even a real raghead but ,0,Megyn Lew raghead asli
514,breaking news dyke drought increases rapidly as the day goes by because of this suspicious entity read more below,1,Breaking News Dyke Kekeringan meningkat cepat seiring berjalannya entitas mencurigakan membaca
515,  economic asylum isn a thing neither iscountry is a shithole asylum nnhow m ,1,Asylum Ekonomi negeri suaka nnhow m
516,that awful i sorry that happened banter is the last refuge of the cunt,0,Saya menyesal buruk olok -olok perlindungan vagina
517,the only way that people can stop massacre shooting in the future is getting rid of trump and his retard cultfollo ,1,Satu -satunya orang menghentikan penembakan pembantaian menyingkirkan Trump Retard Cultfollo -nya
518,cheating twat just admitted he handled the ball to score typical needs cunts off luff,0,curang twat mengakui menangani bola mencetak gol -vagina kebutuhan khas luff
519,finished makingamurderer 2 bobby dassey is guilty ken kratz is a cunt kathleen zellner is a legend idelores and allen avery,0,Makingamurderer 2 Bobby Dassey bersalah Ken Kratz cunt Kathleen Zellner Legenda Idelores Allen Avery
520,  plateado con azulnegro etc,0,Perak bluenegro dll
521,did this negro really call me a broke bitch be ism selling bundles from composing,0,Apakah negro -benar menyebut pelacur patah ism menjual bundel komposisi
522,this guy wants to eat fat dicks go figure don't jump in my mentions cause your faggot ass is butt hurt we lost,1,Orang makan penis gemuk go figure melompat homo Anda pantat Anda terluka hilang
523,tora is exactly the kind of autistic retard who would make a thinly veiled brag tweet about how many hits his webs,0,Tora persis retard autis tweet membual terselubung hits web -nya
524,good morning everyone both my parents are retarded and my brother is a nigger,0,Selamat pagi orang orang tuaku terbelakang kakakku negro
525,did the twat really say this sadly it almost sounds like it might believably be his words but sure,1,Apakah twat -benar sedihnya terdengar dipercaya
526,he doesn't look to clever to be fair what a twat,0,Dia pintar adil twat
527,have robots is a certified retard,1,memiliki robot retard bersertifikat
528,  the fact that this guys bio reads there are no shithole countries shows how small the ,1,Fakta bio orang membaca negara shithole betapa kecilnya
529,look at all the feminacy i don't believe it with out listening to a single word your pathetic hope,1,Lihatlah feminasi percayai mendengarkan harapan menyedihkan Anda
530, rosie o'donnell ching chong ping pong wing wong it's cool i have chinese friends it's cool lt… ,1,Rosie ODonnell Ching Chong Ping Pong Wing Wong Itu keren teman Cina keren LT…
531,a feminist just called me a fat twat,1,Seorang feminis memanggil twat gemuk
532,you're one gay retard,1,Anda gay retard
533,this is fake empowerment men are people too,0,Ini Pemberdayaan Palsu Pria manusia
534,my grandma did not teach her children spanish for the same reason most immigrants refuse to learnspeak english fe… ,0,Nenek mengajari anak -anaknya bahasa Spanyol alasan kebanyakan imigran menolak belajar berbicara bahasa Inggris ...
535,what's a money,0,Apa uangnya
536,best tweet of all time fuck all spic countries,1,Tweet terbaik bercinta negara spic
537,say tag the right venison spic,1,ucapkan tag spic daging rusa
538,sam allardyce what a twat ,0,sam allardyce betapa twatnya
539,canada is a country of old immigrants mixing with new immigrants and families from everywhere just try,1,Kanada negara imigran tua bercampur imigran keluarga -mana
540,my car was starting and like the faggot i am i called my father to help luckily he knew exactly what was wrong u,0,Mobil homo memanggil ayah membantu untungnya persis salah
541,['possibly this is wherefore i was called a spik todayurl'],0,Mungkin spik todayurl
542,i listened to this shit as a lil spicsinging all the lyrics i didn know ,1,Saya mendengarkan omong kosong lirik
543,['1 was ready to consent you but destine is barely a fucking cunt and he make it this way'],0,1 menyetujui Anda Destine vagina membuatnya
544,marko is a cuntnntell me something new ,1,Marko cuntnntell
545,i just wish i wasn't so retarded looking i probably wouldn't be here if i had friends in real life it would be a nice life,1,Saya berharap terbelakang teman kehidupan nyata kehidupan menyenangkan
546,i like how you had to between my comment instead of just replying to it quit being a faggot and fucking reply next,1,Saya suka Anda komentar membalasnya berhenti homo balasan
547,might just convinced mum to upgrade to non fucking finally cunt,0,meningkatkan non -fucking cunt
548,what negro,1,negro
549,bet the cunt was up all night banging away on his flute,1,Taruhan vagina bangun malam menggedor serulingnya
550,cannot believe someone told me money john had died just seen him and his dog,0,percaya uang ditinggalkan John anjingnya
551,went full retard never go full retard,0,Pergi retard penuh retard penuh
552,"[""ready to get your domicile looking spic ' nspan""]",0,Siap domisili Anda spic spic n span
553,if you were fleeing your shithole country because you were suffering from poverty hunger and poor health why woul ,0,Jika Anda melarikan negara shithole Anda Anda menderita kelaparan kemiskinan kesehatan buruk woul
554,gonna track this fucker down and defuse him don't want no sis members round me ends what a twat,1,melacak keparat meredakannya anggota sis sekitarku twat
555,['audio like lie hoe beg another man to smoke weed faggot ass medium frequency'],0,audio kebohongan memohon pria merokok gulma fagot ass frekuensi
556,have robots has brought us to back to back world series he acted like an absolute retard tonight but we should fire him,0,memiliki robot membawa World Series bertindak retard absolut malam memecatnya
557,have always thought the people who like me are either mentally retarded or just insane or haven't known me enough,1,orang -orang menyukai mental terbelakang gila mengenal
558,i give up for the past hour have been trying to take a decent picture but my eyes keep coming out retarded,0,Saya menyerah jam mencoba mengambil gambar layak mata terbelakang
559,i love being a medical because i can call other pelicans spic,0,Saya suka medis menelepon pelikan
560, and i thought who doesn't love diana rossnndresses up like a chinamannnwho doesn't like sweet and sour chicken,0,Dan pikir suka Diana Rossnndresses chinamannn suka ayam asam manis asam
561,every nigger is a star,0,Setiap negro bintang
562,['he is a mass murderer who do not cross ended with a caravan did non come from area'],0,Dia pembunuh massal silang karavan daerah
563,['we be all unity bottom truly say without being a cunt'],0,Kita kesatuan -benar vagina
564,mongol kid amp his camel both loving lifer,0,Kid Mongol amp unta lifer pengasih
565,ya no different than my cracker daddyncalled that cunt a pedophile nhe said you're over 18ndie slow ya fuckin toe rags,1,Ya berbeda cracker ayah pedofil bilang kau 18ndie lambat kau sialan kaki kobo
566,let the record show the cunt  fell asleep at 10pm on the weekendssmh,1,Biarkan rekaman vagina tertidur jam 10 malam pekan
567,['just count improving macron eurafrica or the union of the mediterranean he need 1000000 more'],0,Hitung meningkatkan Macron Eurafrica persatuan Mediterania membutuhkan 1000000
568,saddest anime us if not he's retarded,0,anime menyedihkan terbelakang
569,imagine someone says aching change and you suddenly feeling tranquil,0,Bayangkan perubahan sakit -tiba Anda tenang
570,intellectual terrorism,0,terorisme intelektual
571,lose masterclass very good performance only thing that would've topped it off is lose dating that fucking money c,1,Kehilangan masterclass kinerja bagus ditutup kalah kencan
572,he a twat,1,twat
573,he can call me a spic not gonna lie,1,Dia memanggilku spic berbohong
574,and illegal immigrants could be in big trouble,0,imigran ilegal
575,loving this part of my six year old life when she just quite can read perfectly can,0,Mencintai kehidupan berumur enam membaca sempurna
576, shit watch my twitter get locked again for saying the faggot word victoryroyale,1,Sial tonton twitter terkunci fagot Victoryroyale
577,['man that night decelerate still devote the manual'],0,Man malam melambat mencurahkan manual
578,nah b i don't fuck with those thing thong long long phones,1,b bercinta ponsel
579,"[""it ' s non fair spade""]",0,Ini sekop adil
580,hell twat son of a bitch shitfuck fuck,1,neraka twat putra wanita jalang sialan bercinta
581,if he's not as well a zealot of the left if he is found to be then he is a criminal a leftist and yes a domestic,1,Jika fanatik kiri ditemukan penjahat kiri ya rumah tangga
582,avid warned is a right royal twat but if the hushes family are blaming anything other than a freak accident for t,0,Avid Warting twat kerajaan keluarga Hushes menyalahkan kecelakaan aneh T
583,portland grants 500k for immigrants' attorneyfees ,0,Portland 500k biaya pengacara imigran
584,you support sanctuary cities for criminal illegal aliens you have no credibility as a governor or merit,1,Anda mendukung kota suaka alien ilegal kriminal Anda memiliki kredibilitas gubernur prestasi
585,this was called a defeater had thing thong yelled,1,defeater memiliki berteriak thong
586,he looks like he call me a dirty spic with that hair that long amp blonde,1,Dia menyebut spic kotor rambut pirang amp
587,grow up you daft twat,1,Tumbuhmu Daft Twat
588,radical leftist contributor calls sympathizer no he not does sympathize,0,Kontributor Kiri Radikal Panggilan Sympathizer Tidak Dia Tidak Simpati
589,fck whatever retard put me in here thinking it was remotely a way to do anythingnnwhat a fckn disgrace ,1,fck apapun retard menempatkan berpikir aib fckn
590,they are illegal aliens,1,alien ilegal
591,one of my irls is chinese and whenever she educates this girl to not say ‘ching chong’ and shit the girl goes “it’… ,0,Salah IRLS orang Cina kali mendidik gadis ching chong sial gadis pergi “ …
592,the issue of refugees must be resolved 7 years ago by way of wise policies in countries such as lib,0,Masalah pengungsi diselesaikan 7 kebijakan bijak negara -negara lib
593,"[""gentleman's gentleman that night retarded even so paid the manual""]",0,Tuan -tuan pria malam terbelakang membayar manual
594,['i get that you encouraging folks merely you know you can give your shithole eruditeness back to your shithole land'],0,Saya mengerti Anda mendorong orang -orang Anda Anda mengembalikan kekeliruan Anda tanah shithole Anda
595,dumb fucks leave out the facts that the mongoloid race came to north america before them by thousands of years a b,0,Fucks bodoh meninggalkan fakta ras mongoloid Amerika Utara ribuan b
596, an ingenious portmanteau ofandmartha washington 1776,0,Portmanteau ofandmartha cerdik Washington 1776
597,coming to roadway this season a robust mongoloid the musical,0,Datang Jalan Musim Ini Mongoloid Musikal Kuat
598,this article was so infuriating yet insightful about just one of the many ways that undocumented immigrants are full,0,Artikel menyebalkan berwawasan luas imigran berdokumen penuh
599,a retarded looking disturbed lunaticnthrow him into the ocean with a brick tied to his ankle nnfood for the fis ,1,Lunaticnthrow terbelakang lautan batu bata diikat pergelangan kakinya nnfood FIS
600,['lmao he delete completely his other tweets that wasrelated amprelated'],0,lmao -benar menghapus tweetnya diampraskan
601,  some twat shot a sleepinglion,1,twat menembak llion tidur
602,['intimately they have a job their job is be an activist and an friend to immigrants and the lgbtq biotic community'],0,Secara intim memiliki pekerjaan pekerjaan aktivis teman imigran komunitas biotik LGBTQ
603,peace by chocolate treats from syria refugees reach international space station,0,Peace by Chocolate Treats Suriah Pengungsi Mencapai Stasiun Luar Angkasa Internasional
604,not retarded just a nihilist,1,terbelakang nihilist
605,stop copying my art you twat,0,Berhenti Menyalin Seni Saya Twat
606,yeah like cut the funding to illegal immigrants amp their anchor babies,1,ya memotong dana imigran ilegal menguatkan bayi jangkar
607,thing thong pro i agree,0,thong pro setuju
608,humor negro,0,suasana hati hitam
609,kelvin gates for president all the way retarded,1,Kelvin Gates for President All The Way Retarded
610,svenskeren is fucking retarded level 4 xin chasing level 6 viktor under tower and btw he was only level 4 becaus ,1,Svenskeren level 4 xin terbelakang mengejar level 6 viktor menara btw level 4 becaus
611,donate you stupid faggot son of a bitch you right,0,Donasi Anda fagot bodoh bajingan Anda
612,"[""i be listen and take in some of kwame nkrumah ' s achievement to our country and africa at large on media hubs …""]",0,Saya mendengarkan menerima pencapaian Kwame Nkrumah negara Afrika hub media ...
613, i like how she called out gillebrand and that whack job feminazi from hawaii,1,Saya suka memanggil Gillebrand pekerjaan Feminazi Hawaii
614,non main genre blague our let migrants we lame de plus en plus,0,tangan lelucon migran pisau
615,sometimes you will talk yourself right out of a blessing and that's what this negro just did because i blocked him,1,Terkadang Anda berbicara Anda langsung berkah orang Negro memblokirnya
616,can buy class i know all clubs have dick head fans but this twat is top of all lists havesomerespect ,1,Dapat membeli kelas klub memiliki penggemar head twat teratas daftar haveomerespect
617,['deletion at me adult thing thong'],0,penghapusan dewasa thong
618,mid it's smelly pay bulk mom trying to send her retard bulk kid goons on my car at nights while i sleep don't have a camera up yet report,1,Mid Its Smelly Pay Mom Bulk Mencoba Mengirimnya Retard Bulk Kid Preman Mobil Saya Di Malam Saat Saya Tidur Belum Memiliki Kamera Lapis
619,man but how with thing thong culture,1,Man budaya Thong
620,i have never lost a phone to such a retarded sendoff don't worry i am baffled at the people i know we,1,Saya kehilangan telepon pengiriman terbelakang khawatir bingung orang kenal
621,no matter what this retarded president tweets his cult followers will far it as retarded as himself,0,Tidak peduli terbelakang presiden men -tweet pengikut sekte -nya terbelakang
622,cops the nigger slave isn't worth a thousand lines of code,1,COPS The Nigger Slave bernilai seribu baris kode
623,msmntrump is nazi and jew killer nthey have gone full retard,0,MSN Trump Nazi Pembunuh Yahudi -benar memperlambat
624, you can be serious it daddy fault you twat you are living in lala land you all make me sick fucktrumps,1,serius kesalahan ayahmu twat tinggal lala tanah membuatku sakit fucktrumps
625,nahhhh what a retard hahah ,1,nahhhh betapa retard hahah
626,don't do it i did it and it's impossible to keep such a nightmare i also looked like a feminacy a,1,Jangan lakukan melakukannya menjaga mimpi buruk feminasi a
627,gallant pad arrived en retard,1,Pad gagah en retard
628,absolute mongoloid rematching old drama for the sake of views,1,drama mongoloid absolute pandangan
629,am i retarded how did this make it past my brain censors,1,Apakah terbelakang berhasil melewati sensor otak
630,i sometimes find it crazy how we just a tiny spic of dust out of the whole universe,1,Terkadang gila setitik debu alam semesta
631,if she doesn't stream men then she doesn't who asked for your opinion cunt,1,Jika mengalirkan pria pendapat Anda
632,of thing thong,1,thong
633,buying the ahead votes i see,0,Membeli suara terdepan lihat
634,my name is spic now lot copy but let me all you one of the many names society got for you then wanna cry racism,0,nama spic salinan lot biarkan salah nama masyarakat Anda menangis rasisme
635,i wanna see up retarded dog,0,Saya anjing terbelakang
636,['every in one case in a patch a genius call u a faggot'],0,tambalan jenius memanggil u fagot
637,war does not equal terrorism you fucking mongoloid,1,Perang terorisme Anda
638,['iodin can straightaway legally say hurt thong ping lingo'],0,Iodin lurus legal terluka ping ping lingo
639,pro just call me a spic already i know u wanna,0,pro panggil spic
640,['didn give up the ghost out today was lazy so i cleaned my place huhuhu information technology feel so nice regard it spic and span esp my carpet'],0,melepaskan hantu malas membersihkan teknologi informasi huhuhu menyenangkan menganggapnya spic rentang esp esp karpet
641,['i can alone extract myself through a robust mongoloid'],0,Saya mengekstrak mongoloid kuat
642,i talking at hair negro,1,Saya berbicara Hair Negro
643,['what the fuck serve spic mean and how embody it violative'],0,What the Fuck Serve Spic Mean Bagaimana mewujudkannya kejam
644,call me a faggot but yeah i drinking tea so what,0,panggil homo ya minum teh
645,of course he does,0,Tentu melakukannya
646,france has a bloody great migrant problem it is rapidly becoming the shithole of europe why would any other count ,1,Prancis memiliki migran berdarah cepat kumuh Eropa penghitungan
647,makuta has taught me to hate old men ism gonna kick the shit out of the next old fucker i see he's probably a cunt,1,Makuta mengajari membenci orang tua menendang kotoran keparat tua vagina
648,calls for expanding opportunities for legal immigrants yes we need to do that but the process to be,0,seruan memperluas peluang imigran hukum ya prosesnya
649,do me and america a favor and stop giving these hateful leftist reporters the privilege of asking,0,Bantalkan Amerika berhenti wartawan kiri penuh kebencian hak istimewa
650,you dumb so dumb no home just dumb eat shit you racist twat,1,bodoh bodoh rumah bodoh makan kotoran rasis twat
651,bbc newsnauru refugees the island where…,0,BBC News Nauru mengungsi pulau tempat…
652,shut the fuck up you twat,0,tutup mulutmu twat
653,so what i getting from you is that your a homosexual blind retarded old man who is also a father,1,Jadi dapatkan Anda Anda lelaki tua terbelakang buta homoseksual ayah
654,maybe this is why i was called a spic todayurl,0,Mungkin dipanggil spic Todayurl
655,u look like a dyke,1,tanggul
656,hey cupcake your shooter terrorist extremists is a leftist anti trumpet but your anti let thoughts are noted the,1,hai cupcake ekstremis teroris penembak Anda trompet anti -kiri pikiran anti let Anda dicatat
657,some cunt smashed my phone out my hand last night,1,vagina menghancurkan ponsel malam
658,which america turned out to be the best land for civilized people or negro people because there are less earthquake,0,Amerika tanah terbaik orang -orang beradab orang Negro gempa bumi
659,time is moving so slow and i already an impatient person naturallythis is retarded,0,Waktu bergerak lambat orang sabar alami terbelakang
660,lot all you do on diva is eat stuff kill someone retarded ism bad,1,Lot Anda lakukan Diva makan barang bunuh terbelakang buruk
661,anyways harry styles could call me a dirty spic and id still munch on his asshole with no shame,1,Ngomong -ngomong Harry Styles memanggilku spic kotor mengunyah brengseknya malu
662,difference between principled conservatives and powerhungry leftists every conservative wants sayoc in prison for ,0,Perbedaan konservatif berprinsip kaum kiri powerhunging konservatif menyapa penjara
663,lmaoooooo ni que pelo negro yall wildin en serio ,0,Lmaoooooo rambut hitam Wildin
664,god macho is a twat,0,God macho twat
665,how to answer your phone faggot fuck you,1,ponsel Anda fagot bercinta Anda
666,do it nigger,1,lakukan negro
667,they're alright the but they do seem to attract a money element at their gigs,1,Mereka -baik menarik elemen uang pertunjukan
668,ex can suck a dick can't even have a good t side fucking big retard wonder how lily suddenly b,1,Ex Can Suck a Dick memiliki sisi t bagus sialan retard heran lily -tiba b
669,and take away his passport plus i want to see him get on a plane to his shithole country ,1,Dan ambil paspornya ditambah pesawat negara shithole -nya
670,only i get the most retarded phone calls,0,Hanya panggilan telepon terbelakang
671,watching charges on twitch is like taking care of an retarded child if you ever let go of their hand they are gonna,1,Menonton tuduhan Twitch merawat anak terbelakang Anda melepaskan tangan
672,perhaps regardless its an attack on the global south's refugees and i don't want any non violent felons do,0,terlepas serangan pengungsi global Selatan penjahat kejam melakukannya
673,rope has enough illegal immigrants we don't need a saran pain too sorry,0,Tali memiliki imigran ilegal membutuhkan sakit Saran maaf
674,as up nowthe people from the shithole nor muslim countries haven't been a problem for the us the fine people of ,1,Karena orang -orang shithole negara -negara Muslim AS orang -orang
675,coming thru,0,
676,['pro just call maine a spic already i get it on u wanna'],0,Pro Just Call Maine A Spic mengerti Anda
677,a nigger that votes our way,1,negro memilih
678,['4 shots of don junior afterward i feel decelerate'],0,4 tembakan Don Junior melambat
679,well yeah when you a faggot it does,1,ya Anda homo
680,one time i got called a spic at a soccer game and almost through hands with the white dude,0,Suatu kali dipanggil spic pertandingan sepak bola tangan pria putih
681,  wish i didn't live in a shithole country and could buy cool tshirts as well,1,Seandainya tinggal negara shithole membeli kaos keren
682,  why are we having all these people from shithole countries come heretrump nnhe ,1,Mengapa memiliki orang negara -negara shithole
683,"[""see this thread this is wherefore campaign alike it ' s ok to be white is ask""]",0,Lihat utas kampanye baiklah putih
684,um faggot has 6 letters i flopped,1,Um Fagot memiliki 6 huruf gagal
685,woke nigger,1,Bangun negro
686,['it actually ties with cost a jigaboo the'],0,Ini -benar terkait biaya jigaboo
687,tell the twat who thinks that to f off i think your series is great and i gain a lot in my game from watching you,1,Beri twat berpikir pikir seri Anda hebat permainan menonton Anda
688,i hate people i hate how they think i hate how they act everybody is fucking retarded to me,1,Aku benci orang benci pikir benci bertindak orang -benar terbelakang padaku
689,['to a lot of ya i may sound dumb retarded oregon whatever personally none of ya opinions make ever mattered i just serve'],0,Untuk ya terdengar bodoh terbelakang oregon pribadi pendapat Anda melayani
690,dear madam aching thong change is not actual chines that's fucking racist,0,Madam terkasih Perubahan Thong Chines rasis
691,did he target the jews in the media the bankers the zognthis faggot probably killed some stabucks barista jew and accomplished zero,1,Apakah menargetkan orang -orang Yahudi media bankir zogni membunuh orang Yahudi barista Stabucks mencapai nol
692, wtf are you saying we did not cause their shithole countries to collapse your example of destroying my ,1,WTF Anda menyebabkan negara -negara shithole runtuh contoh Anda menghancurkan
693,i look retarded,1,Saya terbelakang
694,funny how the leftist are always projecting their morals on other people giving billions to terror state,0,Lucu orang kiri memproyeksikan moral orang miliaran negara teror
695,killer news were among the leftist forces organizing the migrant caravans trump was not nationalist enough for,1,Berita pembunuh salah pasukan kiri mengorganisir karavan migran Trump nasionalis
696,oh ma gawd bonnie is killing his own cousin bugsnspidermanandfriendsbotnshut up jackiechan you twat ,0,oh ma gawd bonnie membunuh sepupunya bugsnspidermanandfriendsbotnshut up jackiechan you twat
697,['dear mongy stokecan ya stop fight or any be information technology you doing extraneous the ground so my coach can leavescfc stokecity'],0,Dear Mongy Stokecan ya berhenti pertarungan teknologi informasi Anda lakukan tanah pelatih meninggalkan stokecity
698,uh no u stupid faggot goblin slayer actually makes sense,1,uh bodoh fagot goblin slayer masuk akal
699,some cunt trying to hack into my twitter fuck right off,0,vagina mencoba meretas twitter langsung
700,efficiently is the biggest retard on the planet,0,efisien retard terbesar planet
701,why do you need to be friends with someone on epic to join them you stupid cunt what up fucking problem shit cunt,1,Mengapa Anda berteman epik bergabung Anda cunt bodoh
702,when hes not i want a apology from your retarded ass,1,Ketika permintaan maaf pantat Anda terbelakang
703,so is robert bowers a muslim or mexican or media or leftist woman or refugeenwaiting,1,Begitu Robert Bowers Muslim Meksiko media wanita kiri pengungsi
704,  kavanaugh family has 247 secret service protection dr ford has no security had to f… ,0,Keluarga Kavanaugh memiliki 247 Perlindungan Layanan Rahasia Dr Ford memiliki keamanan ...
705,did i just read i cant read thing thong with my own two eyes,0,membaca membaca thong mata
706, evidence of shithole country land amp they are going to leave evidence in our sacred rivers lakes oc ,0,Bukti negara shithole ampl meninggalkan bukti sungai sakrad danau oc
707, three or four years ago america was not a shithole country it is now,0,Tiga Amerika negara shithole
708,glad that the despicable trump fan magabomber was so quickly found thanks director wray and fbinnonly negative i ,0,Senang penggemar Trump tercela Magabomber cepat ditemukan terima kasih sutradara Wray fbinnonly negatif
709,you whipped faggot,1,Anda mencambuk homo
710,my ahead is a million times better,0,jutaan kali
711,i king mongoloid will do my best to put these monkeys to rest,1,I King Mongoloid terbaik monyet beristirahat
712,let migrants traverse la me et trouveur let aides socialist,1,Biarkan migran melintasi menemukan bantuan sosialis
713,i can call myself a faggot and granny if i want to cameroon and so can ai because we both trains and gay,1,Saya menyebut homo nenek Kamerun ai berdua berlatih gay
714,thing thong music,1,musik thong
715,i have have am you galactic faggot,1,Saya memiliki fagot galaksi Anda
716,stick in your twat your dad is responsible for violence he promotes it so phony is daughter eat a bowl of dicks,1,Menempel twat Anda ayah Anda bertanggung kekerasan mempromosikannya palsu anak perempuan makan semangkuk penis
717,ahead hours,0,jam
718,you look like the mongoloid version of young doll,1,Anda versi mongoloid boneka muda
719,lmfao somebody get this negro a seat ,0,lmfao kursi negro
720, daft bintnnlike all ardent leftists she'll suck up to anything no matter how much it violates her loft ,1,Daft bintnnnnnnnnnn Leftis bersemangat menghisap peduli melanggar lotengnya
721,our coach is a fucking retard,0,Pelatih -benar terbelakang
722,casuallyfantastic2001 realisticrecovery anyway abusive women are just as bad as abusive men shameful ,1,santaiantastic2001 pemulihan realistis . Wanita kasar buruknya pria kejam
723,america we are at the edge of a precipicen nyesterday as trump was ranting aboutcountries i was in ,0,Amerika Kami tepi jurang kemarin Trump mengomel negara -negara
724,shut up faggot,1,Diam homo
725,same reason people want to use ethnic slurs same reason people want to say faggot so bad people want to do offers,1,alasan orang cercaan etnis alasan orang homo orang jahat penawaran
726,happy birthday man i wish you all the best and stay thing thong wouldn't know how to survive last,0,selamat ulang kawan berharap terbaik Anda thong bertahan hidup
727,am sorry to hear that you can go back to your country to use what you have learn,0,Maaf mendengar Anda negara Anda Anda pelajari
728,so many arab states don declare t,0,Begitu negara Arab t
729,spineless twat,1,Twat spin
730,you could care less little feminacy screwed your way to the top with a long trail of discontent ya,1,Anda peduli feminasi mengacaukan jalan Anda jejak ketidakpuasan ya
731,bunch of frat boy looking guys walked in being loud and obnoxious and taking series and making retarded jokes i fucking wilting lot,0,Bunch of Frat Boy Looking Guys berjalan keras menjengkelkan mengambil seri lelucon terbelakang layu
732,what a nonresponsive man obviously her tweet is retarded but why is talking to spencer hypocritical,1,Betapa orang responsif tweetnya terbelakang berbicara Spencer munafik
733,you retarded as fuck,1,Anda terbelakang
734,everyone needs to unfollow this cunt nnthanks nncuntnunfollownsicknleicester ,0,Setiap orang berhenti mengikuti vagina nncuntnunfollownsicknleicester
735, maybe open borders and allowing people in from shithole countries where they don't value life is to b ,0,perbatasan terbuka orang negara -negara shithole menghargai kehidupan b
736,ism good at being a faggot,1,isme bagus homo
737,['do matter thong springy in other dimension'],0,Do Matter Thong Springy dimensi
738,['we equal the shithole country'],0,Kami negara shithole
739,call them what they are illegal aliens not undocumented immigrants,1,Sebut alien ilegal imigran berdokumen
740,hate to say it cocaine but unfortunately twats like trump have left a stain on our credit,0,Benci kokain sayangnya twat Trump meninggalkan pewarnaan kredit
741,chest amusing better remarque pace due judgement let migrants crux quod,0,dada menghibur kecepatan remarque penilaian biarkan migran crux quod
742,people who insult signs with thing thong thing thong and china forever have my burning hatred,1,Orang menghina tanda -tanda Thong Thing Thong China memiliki kebencian terbakar
743,everyone is so busy helping refugees and illegal aliens who had,0,orang sibuk membantu pengungsi alien ilegal
744,orders from ching chongn20181025 1249belgium item held by customs awaiting presentation to customs commissione ,1,Pesanan Ching Chongn20181025 1249Belgium Item dipegang bea cukai menunggu presentasi Customs Commissione
745,retarded,1,terbelakang
746,there was a fucking shooting today in pittsburgh you mindless twat ,0,penembakan sialan Pittsburgh Anda twat
747,psst is a faggot,0,psst homo
748,i know not related but is as retarded as seven stay off the wall brush,1,Saya terkait terbelakangnya tujuh sikat dinding
749,i hate every cunt on this planet i swear,1,Aku benci vagina planet bersumpah
750,screeches in high pitched thing thong change,1,memekik -hal bernada perubahan thong
751,wetback spic come on racists you can do better than that these don't offend me and shouldn't offend my people,0,Wetback spic rasis Anda lakukan menyinggung perasaan menyinggung orang -orang
752,you know borzoi is a chainman right,0,Anda Borzoi rantai
753,ism not racist but notice how it's always the naggers and the spices pushing the drugs every now and then it's,1,ism rasis perhatikan naggers rempah -rempah mendorong obat -obatan
754,its of hobo is a spic,1,hobo spic
755,world goes crazy over shithole countries  via ,0,Dunia gila negara -negara shithole
756,trump culture who a shithole country again despicable ,0,Budaya Trump negara shithole tercela
757,that nights retarded,1,Malam terbelakang
758,"[""information technology ' s our sacred party shit thing tonight iodin wasn ' t operate to to comment because 1 think it ' s delay but then""]",0,Teknologi Informasi Pesta suci malam Iodin beroperasi berkomentar pikir keterlambatan
759, just your mongy fans who decided to nick it off wednesday then use forest in it but your lots not fus ,0,Hanya penggemar Mongy Anda memutuskan mencetaknya Rabu hutan dalamnya lot Anda fus
760,put in the nigger,1,dimasukkan negro
761,my dad got called a spic at the train and i ready to fight the colonizer that said that,0,Ayah dipanggil spic kereta melawan penjajah
762,women who support sexual predators in power are the cuntmascots of our oppression,1,Wanita mendukung predator seksual berkuasa cuntascotscot penindasan
763,['bitch shut yo slow ass up search like a great value tipsy confidence game'],0,Bitch Shut Yo Slow Ass Up Search Like a Good Nilai Tipsy Confidence Game
764,if you don't want white people using the word nigger maybe stop using it all the time yourself,1,Jika Anda orang kulit putih negro berhenti menggunakannya
765,due we ne sit pas does burundi refugees alert car lemur corps son visible a local nu,1,Karena duduk Burundi Refugees waspada mayatnya lokasi
766,maddenbishop is the biggest faggot ever,1,Maddenbishop homo terbesar
767,soberanalysis nshould be viralnmsm has gone full retard ,1,soberanalisis nshould viralnmsm -benar retard
768,this made me so angry what a cunt,1,Ini membuatku marah baget
769,portland grants 500k for immigrants' attorney fees ,0,Portland 500k biaya pengacara imigran
770,it's okay to be white,0,Tidak -apa putih
771,two faced corrupt lie lock him up and charge him with traitor of the us rope he's a hussies they are ahead a,1,Dua Faced Corrupt Lie menguncinya menuduhnya pengkhianat AS Rope Dia Hussies unggul a
772, just look up macrons eurafrica or the union of the mediterranean he wants millions more,0,Lihat Macron Eurafrica persatuan Mediterania jutaan
773,['i look similar a dike brush'],0,Saya kuas tanggul
774,is best come market et tour let duties en rope on time let migrants homes element pour venin c,0,market et tour membiarkan tugas en rope membiarkan migran rumah elemen menuangkan venin c
775,because they retarded hedonists next,0,Karena membelakkan hedonis
776,thing thong china thing thong the best,0,thong cina terbaik
777,aye no offense to faggots but i gotta call out a faggot,1,ya pelanggaran homo memanggil homo
